County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,67551,4245,3048,4.50%,40.71455,-74.00714,2020-04-05 22:53 EDT,36,500,8443.713,8.000153487
Nassau,New York,14398,1052,162,1.10%,40.74165225,-73.58899619,2020-04-05 22:53 EDT,36,59,1356.564,10.6135796
Westchester,New York,13723,642,197,1.40%,41.16319759,-73.7560629,2020-04-05 22:53 EDT,36,119,968.815,14.16472701
Suffolk,New York,13129,1759,175,1.30%,40.87732808,-72.85898036,2020-04-05 22:53 EDT,36,103,1487.901,8.823839758
Rockland,New York,5326,454,69,1.30%,41.152374,-74.02401032,2020-04-05 22:53 EDT,36,87,323.686,16.45421798
Orange,New York,3187,324,53,1.70%,41.40206825,-74.30559567,2020-04-05 22:53 EDT,36,71,378.227,8.426156779
Dutchess,New York,1077,139,8,0.70%,41.76477515,-73.74281684,2020-04-05 22:53 EDT,36,27,293.894,3.664586552
Erie,New York,1059,114,27,2.50%,42.76382119,-78.73224973,2020-04-05 22:53 EDT,36,29,919.866,1.151254639
Monroe,New York,548,36,19,3.50%,43.14604282,-77.69674911,2020-04-05 22:53 EDT,36,55,744.248,0.736313702
Onondaga,New York,364,15,5,1.40%,43.00487,-76.1836,2020-04-05 22:53 EDT,36,67,464.242,0.784073824
Ulster,New York,358,40,4,1.10%,41.95986,-73.99033,2020-04-05 22:53 EDT,36,111,179.303,1.996620246
Putnam,New York,314,31,7,2.20%,41.42653455,-73.7494999,2020-04-05 22:53 EDT,36,79,99.07,3.169476128
Albany,New York,305,12,8,2.60%,42.65155,-73.75521,2020-04-05 22:53 EDT,36,1,307.426,0.99210867
Sullivan,New York,193,0,5,2.60%,41.71631354,-74.76811083,2020-04-05 22:53 EDT,36,105,75.211,2.566113999
Saratoga,New York,150,0,1,0.70%,43.06974,-73.63661,2020-04-05 22:53 EDT,36,91,227.377,0.659697331
Schenectady,New York,128,11,7,5.50%,42.81238,-73.94122,2020-04-05 22:53 EDT,36,93,154.883,0.826430273
Niagara,New York,116,15,0,0.00%,43.19998147,-78.74522262,2020-04-05 22:53 EDT,36,63,211.704,0.547934852
Oneida,New York,95,9,2,2.10%,43.24306498,-75.42583597,2020-04-05 22:53 EDT,36,65,230.782,0.411643889
Tompkins,New York,95,0,0,0.00%,42.44933495,-76.47064359,2020-04-05 22:53 EDT,36,109,102.962,0.9226705
Madison,New York,89,4,2,2.20%,42.91290749,-75.66978904,2020-04-05 22:53 EDT,36,53,71.359,1.247214787
Rensselaer,New York,74,1,1,1.40%,42.71086263,-73.5097379,2020-04-05 22:53 EDT,36,83,159.431,0.464150636
Steuben,New York,73,13,1,1.40%,42.26782685,-77.38382596,2020-04-05 22:53 EDT,36,101,96.927,0.753144119
Broome,New York,71,6,5,7.00%,42.16021802,-75.81964586,2020-04-05 22:53 EDT,36,7,194.402,0.36522258
Columbia,New York,69,8,3,4.30%,42.25001078,-73.63186134,2020-04-05 22:53 EDT,36,21,60.919,1.132651554
St. Lawrence,New York,61,3,0,0.00%,44.17727,-76.16772,2020-04-05 22:53 EDT,36,89,109.558,0.556782709
Chenango,New York,43,4,0,0.00%,42.49349443,-75.6115371,2020-04-05 22:53 EDT,36,17,48.348,0.88938529
Chemung,New York,38,2,0,0.00%,42.1411881,-76.7600106,2020-04-05 22:53 EDT,36,15,85.74,0.443200373
Clinton,New York,33,2,0,0.00%,44.7904,-73.6006,2020-04-05 22:53 EDT,36,19,80.794,0.408446172
Oswego,New York,32,2,0,0.00%,43.4365257,-76.14924403,2020-04-05 22:53 EDT,36,75,119.104,0.268672757
Ontario,New York,32,1,0,0.00%,42.85288942,-77.29981098,2020-04-05 22:53 EDT,36,69,109.472,0.292312189
Wayne,New York,32,2,0,0.00%,42.474131,-77.09816,2020-04-05 22:53 EDT,36,117,90.856,0.352205688
Otsego,New York,29,3,1,3.40%,42.63373751,-75.03256231,2020-04-05 22:53 EDT,36,77,60.244,0.481375739
Delaware,New York,27,2,1,3.70%,42.19804334,-74.96635196,2020-04-05 22:53 EDT,36,25,45.502,0.593380511
Jefferson,New York,26,6,0,0.00%,44.04103424,-75.91225529,2020-04-05 22:53 EDT,36,45,114.448,0.227177408
Warren,New York,25,5,0,0.00%,43.5592099,-73.85881158,2020-04-05 22:53 EDT,36,113,64.48,0.387717122
Livingston,New York,24,2,1,4.20%,42.72808354,-77.77543855,2020-04-05 22:53 EDT,36,51,63.907,0.375545715
Greene,New York,24,0,0,0.00%,42.27654571,-74.12261588,2020-04-05 22:53 EDT,36,39,47.617,0.504021673
Wyoming,New York,22,4,1,4.50%,42.70242659,-78.22443261,2020-04-05 22:53 EDT,36,121,40.565,0.542339455
Herkimer,New York,22,4,3,13.60%,43.0259,-74.98433,2020-04-05 22:53 EDT,36,43,62.505,0.351971842
Genesee,New York,22,1,1,4.50%,43.00094016,-78.1936949,2020-04-05 22:53 EDT,36,37,58.112,0.378579295
Chautauqua,New York,18,4,1,5.60%,42.22826274,-79.36643298,2020-04-05 22:53 EDT,36,13,129.656,0.138828901
Washington,New York,18,1,1,5.60%,43.31227113,-73.43096234,2020-04-05 22:53 EDT,36,115,61.828,0.291130232
Allegany,New York,16,0,1,6.20%,42.25739788,-78.02755444,2020-04-05 22:53 EDT,36,3,47.025,0.340244551
Montgomery,New York,15,2,1,6.70%,42.9022918,-74.43960085,2020-04-05 22:53 EDT,36,57,49.426,0.303483996
