County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,6211,528,43,0.70%,40.71455,-74.00714,2020-03-21 14:00 EDT,36,61,68.02,91.31137901
Westchester,New York,1385,294,0,0%,41.16319759,-73.7560629,2020-03-21 14:00 EDT,36,119,27.97,49.51734001
Nassau,New York,1234,480,4,0.30%,40.74165225,-73.58899619,2020-03-21 14:00 EDT,36,59,20.48,60.25390625
Suffolk,New York,662,203,7,1.10%,40.87732808,-72.85898036,2020-03-21 14:00 EDT,36,103,29.24,22.64021888
Rockland,New York,262,161,1,0.40%,41.152374,-74.02401032,2020-03-21 14:00 EDT,36,87,6.95,37.69784173
Orange,New York,84,0,0,0%,41.40206825,-74.30559567,2020-03-21 14:00 EDT,36,71,11.27,7.453416149
Albany,New York,70,0,0,0%,42.65155,-73.75521,2020-03-21 14:00 EDT,36,1,17.58,3.981797497
Erie,New York,47,0,0,0%,42.76382119,-78.73224973,2020-03-21 14:00 EDT,36,29,27.67,1.698590531
Monroe,New York,46,10,1,2.20%,43.14604282,-77.69674911,2020-03-21 14:00 EDT,36,55,25.92,1.774691358
Dutchess,New York,36,0,0,0%,41.76477515,-73.74281684,2020-03-21 14:00 EDT,36,27,19.66,1.831129196
Saratoga,New York,24,0,0,0%,43.06974,-73.63661,2020-03-21 14:00 EDT,36,91,3.4,7.058823529
Schenectady,New York,21,0,0,0%,42.81238,-73.94122,2020-03-21 14:00 EDT,36,93,4.58,4.585152838
Rensselaer,New York,15,0,0,0%,42.71086263,-73.5097379,2020-03-21 14:00 EDT,36,83,5.87,2.555366269
Onondaga,New York,13,0,0,0%,43.00487,-76.1836,2020-03-21 14:00 EDT,36,67,17.03,0.763358779
Ulster,New York,12,0,0,0%,41.95986,-73.99033,2020-03-21 14:00 EDT,36,111,11.82,1.015228426
Putnam,New York,12,0,0,0%,41.42653455,-73.7494999,2020-03-21 14:00 EDT,36,79,2.58,4.651162791
Tompkins,New York,11,0,0,0%,42.44933495,-76.47064359,2020-03-21 14:00 EDT,36,109,13.09,0.840336134
Sullivan,New York,8,0,0,0%,41.71631354,-74.76811083,2020-03-21 14:00 EDT,36,105,3.79,2.110817942
Niagara,New York,4,0,0,0%,43.19998147,-78.74522262,2020-03-21 14:00 EDT,36,63,3.99,1.002506266
Ontario,New York,3,0,0,0%,42.85288942,-77.29981098,2020-03-21 14:00 EDT,36,69,3.24,0.925925926
Clinton,New York,3,0,0,0%,44.7904,-73.6006,2020-03-21 14:00 EDT,36,19,6.64,0.451807229
Columbia,New York,3,0,0,0%,42.25001078,-73.63186134,2020-03-21 14:00 EDT,36,21,1.96,1.530612245
Herkimer,New York,2,0,0,0%,43.0259,-74.98433,2020-03-21 14:00 EDT,36,43,1.4,1.428571429
Broome,New York,2,0,0,0%,42.16021802,-75.81964586,2020-03-21 14:00 EDT,36,7,10.92,0.183150183
Greene,New York,2,0,0,0%,42.27654571,-74.12261588,2020-03-21 14:00 EDT,36,39,3.21,0.62305296
Montgomery,New York,2,0,0,0%,42.9022918,-74.43960085,2020-03-21 14:00 EDT,36,57,0.92,2.173913043
Allegany,New York,2,0,0,0%,42.25739788,-78.02755444,2020-03-21 14:00 EDT,36,3,4.27,0.468384075
Oneida,New York,2,0,0,0%,43.24306498,-75.42583597,2020-03-21 14:00 EDT,36,65,13.15,0.152091255
Wyoming,New York,2,0,0,0%,42.70242659,-78.22443261,2020-03-21 14:00 EDT,36,121,3.42,0.584795322
Hamilton,New York,2,0,0,0%,43.66130373,-74.49733573,2020-03-21 14:00 EDT,36,41,0.08,25
Chenango,New York,2,0,0,0%,42.49349443,-75.6115371,2020-03-21 14:00 EDT,36,17,0.75,2.666666667
Schoharie,New York,2,0,0,0%,42.58820746,-74.44213588,2020-03-21 14:00 EDT,36,95,1.27,1.57480315
Steuben,New York,2,0,0,0%,42.26782685,-77.38382596,2020-03-21 14:00 EDT,36,101,1.84,1.086956522
Delaware,New York,1,0,0,0%,42.19804334,-74.96635196,2020-03-21 14:00 EDT,36,25,2.41,0.414937759
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-21 14:00 EDT,36,107,0.52,1.923076923
Essex,New York,1,0,0,0%,44.10755697,-73.79125847,2020-03-21 14:00 EDT,36,31,2.1,0.476190476
Genesee,New York,1,0,0,0%,43.00094016,-78.1936949,2020-03-21 14:00 EDT,36,37,1.95,0.512820513
Warren,New York,1,0,0,0%,43.5592099,-73.85881158,2020-03-21 14:00 EDT,36,113,0.64,1.5625
Washington,New York,1,0,0,0%,43.31227113,-73.43096234,2020-03-21 14:00 EDT,36,115,3.07,0.325732899
Wayne,New York,1,0,0,0%,40.85156,-93.25527,2020-03-21 14:00 EDT,36,117,1.08,0.925925926
Fulton,New York,1,0,0,0%,43.11240266,-74.43516277,2020-03-21 14:00 EDT,36,35,1.43,0.699300699
Jefferson,New York,1,0,0,0%,44.04103424,-75.91225529,2020-03-21 14:00 EDT,36,45,6.14,0.16286645
Livingston,New York,1,0,0,0%,42.72808354,-77.77543855,2020-03-21 14:00 EDT,36,51,5.88,0.170068027
King,Washington,934,0,67,8.40%,47.49011813,-121.8043324,2020-03-21 14:00 EDT,53,33,38.77,20.45395925
Snohomish,Washington,447,0,8,2.10%,47.9124,-122.09306,2020-03-21 14:00 EDT,53,61,9.98,38.57715431
Pierce,Washington,95,0,1,1.20%,47.02270813,-122.1014408,2020-03-21 14:00 EDT,53,53,17.44,4.759174312
Skagit,Washington,28,0,0,0%,48.47933023,-121.7280802,2020-03-21 14:00 EDT,53,57,1.63,15.33742331
Island,Washington,19,0,1,5.30%,48.19160936,-122.6650075,2020-03-21 14:00 EDT,53,29,1.94,9.793814433
Kitsap,Washington,15,0,0,0%,47.47496219,-122.6085325,2020-03-21 14:00 EDT,53,35,9.3,1.290322581
Spokane,Washington,16,0,0,0%,47.65726,-117.41228,2020-03-21 14:00 EDT,53,63,14.28,0.770308123
Whatcom,Washington,14,0,1,10%,48.82559702,-121.7174182,2020-03-21 14:00 EDT,53,73,5.72,1.748251748
Yakima,Washington,13,0,0,0%,46.60448,-120.50721,2020-03-21 14:00 EDT,53,77,3.51,2.849002849
Grant,Washington,11,0,1,12.50%,47.19885794,-119.4525987,2020-03-21 14:00 EDT,53,25,1.23,6.504065041
Thurston,Washington,9,0,0,0%,46.91980578,-122.8298691,2020-03-21 14:00 EDT,53,67,4.1,1.951219512
Clark,Washington,9,0,3,50%,45.78187331,-122.4812785,2020-03-21 14:00 EDT,53,11,3.43,1.749271137
Jefferson,Washington,4,0,0,0%,47.74810608,-123.6000095,2020-03-21 14:00 EDT,53,31,0.63,6.349206349
Kittitas,Washington,4,0,0,0%,46.98472,-120.41752,2020-03-21 14:00 EDT,53,37,2.62,1.526717557
Benton,Washington,7,0,1,33.30%,46.24470273,-119.5147801,2020-03-21 14:00 EDT,53,5,1.42,2.112676056
Chelan,Washington,3,0,0,0%,47.86707169,-120.6252677,2020-03-21 14:00 EDT,53,7,0.93,2.150537634
Klickitat,Washington,4,0,0,0%,45.87640914,-120.7920397,2020-03-21 14:00 EDT,53,39,0.2,10
Franklin,Washington,2,0,0,0%,38.55378,-91.00092,2020-03-21 14:00 EDT,53,21,2.9,0.689655172
Grays Harbor,Washington,1,0,0,0%,47.15055235,-123.7737432,2020-03-21 14:00 EDT,53,27,2.7,0.37037037
Columbia,Washington,1,0,0,0%,46.29757684,-117.9078634,2020-03-21 14:00 EDT,53,13,0.08,12.5
Lincoln,Washington,1,0,0,0%,47.57305061,-118.4177041,2020-03-21 14:00 EDT,53,43,0.09,11.11111111
Cowlitz,Washington,2,0,0,0%,46.19454048,-122.6783272,2020-03-21 14:00 EDT,53,15,1.21,0.826446281
Lewis,Washington,2,0,0,0%,46.57779491,-122.3929158,2020-03-21 14:00 EDT,53,41,0.94,1.063829787
Mason,Washington,1,0,0,0%,38.61504,-83.80988,2020-03-21 14:00 EDT,53,45,2.79,0.358422939
Clallam,Washington,2,0,0,0%,48.0493204,-123.9326675,2020-03-21 14:00 EDT,53,9,1.87,0.534759358
Bergen,New Jersey,363,0,3,1.20%,40.95949149,-74.074442,2020-03-21 14:00 EDT,34,3,10.44,23.85057471
Middlesex,New Jersey,116,0,0,0%,40.57936,-74.50067,2020-03-21 14:00 EDT,34,23,23.36,3.253424658
Essex,New Jersey,107,0,2,2.70%,40.78779259,-74.24760059,2020-03-21 14:00 EDT,34,13,23.48,3.109028961
Hudson,New Jersey,97,0,1,1.50%,40.74034231,-74.0741097,2020-03-21 14:00 EDT,34,17,9.48,6.962025316
Monmouth,New Jersey,92,0,1,1.90%,40.2600411,-74.22194634,2020-03-21 14:00 EDT,34,25,6.78,7.817109145
Passaic,New Jersey,67,0,0,0%,40.86034,-74.12374,2020-03-21 14:00 EDT,34,31,10.23,4.789833822
Ocean,New Jersey,62,0,0,0%,39.90927434,-74.2969653,2020-03-21 14:00 EDT,34,29,6.88,7.122093023
