County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,76876,4695,4009,5.2%,40.71455,-74.00714,2020-04-07 21:19 EDT,36,500,8443.713,9.104525461725192
Nassau,New York,16610,994,500,3.0%,40.74165225,-73.58899619,2020-04-07 21:19 EDT,36,059,1356.564,12.244169829068147
Suffolk,New York,15561,1376,263,1.7%,40.87732808,-72.85898036,2020-04-07 21:19 EDT,36,103,1487.901,10.45835710843665
Westchester,New York,14294,0,283,2.0%,41.16319759,-73.7560629,2020-04-07 21:19 EDT,36,119,968.815,14.754106821219736
Rockland,New York,5990,287,135,2.3%,41.152374,-74.02401032,2020-04-07 21:19 EDT,36,087,323.686,18.505588749590654
Orange,New York,3829,296,93,2.4%,41.40206825,-74.30559567,2020-04-07 21:19 EDT,36,071,378.227,10.123550143167993
Dutchess,New York,1249,60,9,0.7%,41.76477515,-73.74281684,2020-04-07 21:19 EDT,36,027,293.894,4.249831571927293
Erie,New York,1235,72,39,3.2%,42.76382119,-78.73224973,2020-04-07 21:19 EDT,36,029,919.866,1.34258685504193
Monroe,New York,596,22,31,5.2%,43.14604282,-77.69674911,2020-04-07 21:19 EDT,36,055,744.248,0.8008083327063021
Putnam,New York,402,57,7,1.7%,41.42653455,-73.7494999,2020-04-07 21:19 EDT,36,079,99.070,4.0577369536691235
Ulster,New York,398,16,5,1.3%,41.95986,-73.99033,2020-04-07 21:19 EDT,36,111,179.303,2.2197063072006604
Onondaga,New York,397,20,6,1.5%,43.00487,-76.1836,2020-04-07 21:19 EDT,36,067,464.242,0.8551574394389134
Albany,New York,333,14,8,2.4%,42.65155,-73.75520999999998,2020-04-07 21:19 EDT,36,001,307.426,1.0831874987801944
Sullivan,New York,270,17,7,2.6%,41.71631354,-74.76811083,2020-04-07 21:19 EDT,36,105,75.211,3.589900413503344
Saratoga,New York,155,2,4,2.6%,43.06974,-73.63661,2020-04-07 21:19 EDT,36,091,227.377,0.6816872418934192
Schenectady,New York,145,7,7,4.8%,42.81238,-73.94122,2020-04-07 21:19 EDT,36,093,154.883,0.9361905438298588
Niagara,New York,126,6,1,0.8%,43.19998147,-78.74522262,2020-04-07 21:19 EDT,36,063,211.704,0.5951706155764652
Oneida,New York,118,18,2,1.7%,43.24306498,-75.42583597,2020-04-07 21:19 EDT,36,065,230.782,0.5113050411210579
Tompkins,New York,103,1,0,0.0%,42.44933495,-76.47064359,2020-04-07 21:19 EDT,36,109,102.962,1.0003690681999184
Madison,New York,92,0,2,2.2%,42.91290749,-75.66978904,2020-04-07 21:19 EDT,36,053,71.359,1.289255735085974
Rensselaer,New York,88,14,3,3.4%,42.71086263,-73.5097379,2020-04-07 21:19 EDT,36,083,159.431,0.5519629181275912
Broome,New York,86,10,6,7.0%,42.16021802,-75.81964586,2020-04-07 21:19 EDT,36,007,194.402,0.44238228001769525
Steuben,New York,75,0,5,6.7%,42.26782685,-77.38382596,2020-04-07 21:19 EDT,36,101,96.927,0.7737782042155436
Columbia,New York,72,2,4,5.6%,42.25001078,-73.63186134,2020-04-07 21:19 EDT,36,021,60.919,1.1818972734286513
St. Lawrence,New York,61,0,0,0.0%,44.17727,-76.16771999999997,2020-04-07 21:19 EDT,36,089,109.558,0.5567827087022399
Chenango,New York,51,5,0,0.0%,42.49349443,-75.61153709999998,2020-04-07 21:19 EDT,36,017,48.348,1.0548523206751055
Chemung,New York,49,2,0,0.0%,42.1411881,-76.76001059999999,2020-04-07 21:19 EDT,36,015,85.740,0.5714952181012364
Jefferson,New York,39,6,0,0.0%,44.04103424,-75.91225529,2020-04-07 21:19 EDT,36,045,114.448,0.3407661121207885
Clinton,New York,37,1,0,0.0%,44.7904,-73.6006,2020-04-07 21:19 EDT,36,019,80.794,0.4579547986236602
Delaware,New York,36,7,1,2.8%,42.19804334,-74.96635196,2020-04-07 21:19 EDT,36,025,45.502,0.7911740143290406
Wayne,New York,35,1,0,0.0%,42.474131,-77.09816,2020-04-07 21:19 EDT,36,117,90.856,0.3852249713832878
Otsego,New York,34,5,1,2.9%,42.63373751,-75.03256231,2020-04-07 21:19 EDT,36,077,60.244,0.5643715556735941
Oswego,New York,34,0,2,5.9%,43.4365257,-76.14924403,2020-04-07 21:19 EDT,36,075,119.104,0.2854648038688877
