County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,110465,3702,7905,7.2%,40.71455,-74.00714,2020-04-14 23:30 EDT,36,500,8443.713,13.082514765719774
Nassau,New York,25250,892,1001,4.0%,40.74165225,-73.58899619,2020-04-14 23:30 EDT,36,059,1356.564,18.613202178444954
Suffolk,New York,23019,979,608,2.6%,40.87732808,-72.85898036,2020-04-14 23:30 EDT,36,103,1487.901,15.470787370933953
Westchester,New York,20191,405,596,3.0%,41.16319759,-73.7560629,2020-04-14 23:30 EDT,36,119,968.815,20.84092422185866
Rockland,New York,8335,370,263,3.2%,41.152374,-74.02401032,2020-04-14 23:30 EDT,36,087,323.686,25.75026414488115
Orange,New York,5830,232,178,3.1%,41.40206825,-74.30559567,2020-04-14 23:30 EDT,36,071,378.227,15.414023853400208
Dutchess,New York,1934,53,17,0.9%,41.76477515,-73.74281684,2020-04-14 23:30 EDT,36,027,293.894,6.580603891198868
Erie,New York,1730,69,73,4.2%,42.76382119,-78.73224973,2020-04-14 23:30 EDT,36,029,919.866,1.880708711921084
Monroe,New York,850,27,56,6.6%,43.14604282,-77.69674911,2020-04-14 23:30 EDT,36,055,744.248,1.1420924208059677
Ulster,New York,716,0,13,1.8%,41.95986,-73.99033,2020-04-14 23:30 EDT,36,111,179.303,3.9932404923509366
Putnam,New York,634,127,7,1.1%,41.42653455,-73.7494999,2020-04-14 23:30 EDT,36,079,99.070,6.399515494095085
Onondaga,New York,537,17,11,2.0%,43.00487,-76.1836,2020-04-14 23:30 EDT,36,067,464.242,1.1567242946566663
Albany,New York,535,36,16,3.0%,42.65155,-73.75520999999998,2020-04-14 23:30 EDT,36,001,307.426,1.7402561917339459
Sullivan,New York,415,35,9,2.2%,41.71631354,-74.76811083,2020-04-14 23:30 EDT,36,105,75.211,5.517809894829214
Schenectady,New York,235,31,8,3.4%,42.81238,-73.94122,2020-04-14 23:30 EDT,36,093,154.883,1.5172743296552884
Oneida,New York,229,23,4,1.7%,43.24306498,-75.42583597,2020-04-14 23:30 EDT,36,065,230.782,0.9922784272603582
Saratoga,New York,224,23,4,1.8%,43.06974,-73.63661,2020-04-14 23:30 EDT,36,091,227.377,0.985148014091135
Niagara,New York,216,22,5,2.3%,43.19998147,-78.74522262,2020-04-14 23:30 EDT,36,063,211.704,1.0202924838453689
Steuben,New York,147,0,16,10.9%,42.26782685,-77.38382596,2020-04-14 23:30 EDT,36,101,96.927,1.5166052802624654
Broome,New York,146,13,8,5.5%,42.16021802,-75.81964586,2020-04-14 23:30 EDT,36,007,194.402,0.7510210800300408
Rensselaer,New York,140,27,6,4.3%,42.71086263,-73.5097379,2020-04-14 23:30 EDT,36,083,159.431,0.8781228242938951
Tompkins,New York,113,0,0,0.0%,42.44933495,-76.47064359,2020-04-14 23:30 EDT,36,109,102.962,1.0974922787047647
Madison,New York,110,0,3,2.7%,42.91290749,-75.66978904,2020-04-14 23:30 EDT,36,053,71.359,1.5415014223854036
Columbia,New York,93,0,9,9.7%,42.25001078,-73.63186134,2020-04-14 23:30 EDT,36,021,60.919,1.5266173115120079
St. Lawrence,New York,92,3,0,0.0%,44.17727,-76.16771999999997,2020-04-14 23:30 EDT,36,089,109.558,0.8397378557476406
Warren,New York,77,29,0,0.0%,43.5592099,-73.85881158,2020-04-14 23:30 EDT,36,113,64.480,1.194168734491315
Genesee,New York,76,5,1,1.3%,43.00094016,-78.1936949,2020-04-14 23:30 EDT,36,037,58.112,1.307819383259912
Chenango,New York,68,3,0,0.0%,42.49349443,-75.61153709999998,2020-04-14 23:30 EDT,36,017,48.348,1.4064697609001406
Greene,New York,66,21,0,0.0%,42.27654571,-74.12261588,2020-04-14 23:30 EDT,36,039,47.617,1.3860596005628243
Chemung,New York,64,4,1,1.6%,42.1411881,-76.76001059999999,2020-04-14 23:30 EDT,36,015,85.740,0.7464427338465127
Ontario,New York,61,4,0,0.0%,42.85288942,-77.29981098,2020-04-14 23:30 EDT,36,069,109.472,0.5572201110786319
Wayne,New York,48,6,0,0.0%,42.474131,-77.09816,2020-04-14 23:30 EDT,36,117,90.856,0.5283085321827947
Jefferson,New York,47,1,0,0.0%,44.04103424,-75.91225529,2020-04-14 23:30 EDT,36,045,114.448,0.41066685306864253
Clinton,New York,45,1,3,6.7%,44.7904,-73.6006,2020-04-14 23:30 EDT,36,019,80.794,0.5569720523801273
Delaware,New York,45,3,3,6.7%,42.19804334,-74.96635196,2020-04-14 23:30 EDT,36,025,45.502,0.9889675179113007
Otsego,New York,44,1,2,4.5%,42.63373751,-75.03256231,2020-04-14 23:30 EDT,36,077,60.244,0.7303631896952394
Oswego,New York,42,0,2,4.8%,43.4365257,-76.14924403,2020-04-14 23:30 EDT,36,075,119.104,0.35263299301450834
Washington,New York,40,3,1,2.5%,43.31227113,-73.43096234,2020-04-14 23:30 EDT,36,115,61.828,0.6469560716827327
Herkimer,New York,39,1,3,7.7%,43.0259,-74.98433,2020-04-14 23:30 EDT,36,043,62.505,0.6239500839932806
Livingston,New York,34,0,3,8.8%,42.72808354,-77.77543855,2020-04-14 23:30 EDT,36,051,63.907,0.5320230960614644
Cayuga,New York,33,2,1,3.0%,42.92145204,-76.54917489,2020-04-14 23:30 EDT,36,011,77.868,0.4237941131145015
Cattaraugus,New York,32,4,0,0.0%,42.2485958350001,-78.678812022,2020-04-14 23:30 EDT,36,009,77.686,0.4119146306927889
Montgomery,New York,32,3,1,3.1%,42.90229179999999,-74.43960085,2020-04-14 23:30 EDT,36,057,49.426,0.6474325253914943
Wyoming,New York,32,1,1,3.1%,42.70242659,-78.22443261,2020-04-14 23:30 EDT,36,121,40.565,0.7888573893750771
Orleans,New York,31,5,0,0.0%,43.252100586000005,-78.23124678499991,2020-04-14 23:30 EDT,36,073,41.175,0.7528840315725562
Allegany,New York,28,2,1,3.6%,42.25739788,-78.02755444,2020-04-14 23:30 EDT,36,003,47.025,0.5954279638490165
Tioga,New York,24,1,0,0.0%,42.06057,-76.34519,2020-04-14 23:30 EDT,36,107,49.045,0.4893465185034152
Chautauqua,New York,23,0,3,13.0%,42.22826274,-79.36643298,2020-04-14 23:30 EDT,36,013,129.656,0.17739248472882088
Cortland,New York,22,1,0,0.0%,42.59500111,-76.07023743,2020-04-14 23:30 EDT,36,023,48.123,0.4571618560771356
Fulton,New York,22,1,0,0.0%,43.11240266,-74.43516277,2020-04-14 23:30 EDT,36,035,53.743,0.4093556370131924
Schoharie,New York,20,8,0,0.0%,42.58820746,-74.44213588,2020-04-14 23:30 EDT,36,095,31.364,0.6376737661012626
Seneca,New York,18,2,0,0.0%,42.790068356999996,-76.822922724,2020-04-14 23:30 EDT,36,099,34.612,0.5200508494163875
Franklin,New York,13,1,0,0.0%,44.592675381999996,-74.3034218499999,2020-04-14 23:30 EDT,36,033,50.692,0.25645072200741736
Essex,New York,12,0,0,0.0%,44.10755697,-73.79125847,2020-04-14 23:30 EDT,36,031,37.751,0.317872374241742
Schuyler,New York,8,0,0,0.0%,42.370638971999995,-76.9851275,2020-04-14 23:30 EDT,36,097,17.992,0.4446420631391729
Lewis,New York,7,1,0,0.0%,43.78473386600009,-75.448706117,2020-04-14 23:30 EDT,36,049,26.719,0.26198585276395076
Yates,New York,6,2,0,0.0%,42.633345773,-77.11807677899999,2020-04-14 23:30 EDT,36,123,25.009,0.23991363109280658
Hamilton,New York,3,0,0,0.0%,43.66130373,-74.49733573,2020-04-14 23:30 EDT,36,041,4.575,0.6557377049180327
Bergen,New Jersey,10426,334,550,5.3%,40.95949149,-74.074442,2020-04-14 23:30 EDT,34,003,929.999,11.210764742757789
Hudson,New Jersey,8242,363,277,3.4%,40.74034231,-74.07410970000002,2020-04-14 23:30 EDT,34,017,668.631,12.326679439032889
Essex,New Jersey,8212,578,535,6.5%,40.78779259,-74.24760059,2020-04-14 23:30 EDT,34,013,793.555,10.34836904814411
Union,New Jersey,7265,629,238,3.3%,40.69635,-74.26957,2020-04-14 23:30 EDT,34,039,553.066,13.1358644357093
Passaic,New Jersey,6438,488,156,2.4%,40.86034,-74.12374,2020-04-14 23:30 EDT,34,031,504.041,12.772770469068984
Middlesex,New Jersey,6313,326,216,3.4%,40.57936,-74.50067,2020-04-14 23:30 EDT,34,023,826.698,7.636404104037992
Monmouth,New Jersey,4003,128,145,3.6%,40.2600411,-74.22194634,2020-04-14 23:30 EDT,34,025,623.387,6.421372277573964
Ocean,New Jersey,3833,240,149,3.9%,39.90927434,-74.2969653,2020-04-14 23:30 EDT,34,029,591.939,6.475329383602027
Morris,New Jersey,3424,199,192,5.6%,40.86201902,-74.5442741,2020-04-14 23:30 EDT,34,027,494.383,6.925804487613854
Somerset,New Jersey,1911,102,91,4.8%,40.49859,-74.52249,2020-04-14 23:30 EDT,34,035,330.176,5.787822252374491
Mercer,New Jersey,1731,85,71,4.1%,40.28331911,-74.70157374,2020-04-14 23:30 EDT,34,021,368.762,4.694084531486434
Camden,New Jersey,1477,76,41,2.8%,39.94525,-75.11913,2020-04-14 23:30 EDT,34,007,507.367,2.911107738579766
Burlington,New Jersey,1207,52,28,2.3%,40.07687,-74.85775,2020-04-14 23:30 EDT,34,005,446.367,2.7040529429818965
Gloucester,New Jersey,587,21,11,1.9%,39.71720107,-75.14164366,2020-04-14 23:30 EDT,34,015,290.852,2.018208573432536
Sussex,New Jersey,535,27,39,7.3%,41.13934496,-74.69067762,2020-04-14 23:30 EDT,34,037,142.298,3.7597155265709987
Warren,New Jersey,442,26,25,5.7%,40.85732358,-74.997063,2020-04-14 23:30 EDT,34,041,106.293,4.158317104607077
Hunterdon,New Jersey,349,24,11,3.2%,40.56725317,-74.91217921,2020-04-14 23:30 EDT,34,019,125.051,2.79086132857794
Atlantic,New Jersey,284,17,11,3.9%,39.4806564,-74.67264306,2020-04-14 23:30 EDT,34,001,268.539,1.0575745050067216
Cumberland,New Jersey,201,14,3,1.5%,39.37311491,-75.11061925,2020-04-14 23:30 EDT,34,011,153.400,1.3102998696219035
Cape May,New Jersey,169,5,10,5.9%,38.93547,-74.92137,2020-04-14 23:30 EDT,34,009,93.705,1.803532362200523
Salem,New Jersey,73,7,4,5.5%,39.57661332,-75.35810746,2020-04-14 23:30 EDT,34,033,63.336,1.1525830491347733
Middlesex,Massachusetts,6254,271,188,3.0%,42.48559407,-71.3917913,2020-04-14 23:30 EDT,25,017,1595.192,3.920531196244715
Suffolk,Massachusetts,5872,293,118,2.0%,42.33189157,-71.07537429,2020-04-14 23:30 EDT,25,025,791.766,7.416332603319667
Essex,Massachusetts,3594,181,125,3.5%,42.63251,-70.78113,2020-04-14 23:30 EDT,25,009,781.024,4.6016511656492
Norfolk,Massachusetts,2969,131,123,4.1%,42.11941,-71.33083,2020-04-14 23:30 EDT,25,021,698.249,4.252064807826435
Worcester,Massachusetts,2246,118,57,2.5%,42.26341,-71.80219,2020-04-14 23:30 EDT,25,027,822.280,2.7314296833195506
Plymouth,Massachusetts,2207,66,77,3.5%,41.92808,-70.6568,2020-04-14 23:30 EDT,25,023,512.135,4.309410604625733
Hampden,Massachusetts,1798,104,132,7.3%,42.064613,-72.422,2020-04-14 23:30 EDT,25,013,469.116,3.83274072937184
Bristol,Massachusetts,1435,41,53,3.7%,41.79836956,-71.11428121,2020-04-14 23:30 EDT,25,005,558.905,2.5675204193914887
Barnstable,Massachusetts,514,12,17,3.3%,41.70194,-70.30442,2020-04-14 23:30 EDT,25,001,213.690,2.405353549534372
Berkshire,Massachusetts,360,5,21,5.8%,42.51105,-73.19426,2020-04-14 23:30 EDT,25,003,127.328,2.8273435536566978
Hampshire,Massachusetts,233,9,6,2.6%,42.3402715,-72.66940388,2020-04-14 23:30 EDT,25,015,161.159,1.4457771517569606
Franklin,Massachusetts,155,7,25,16.1%,42.58654867,-72.59777313,2020-04-14 23:30 EDT,25,011,70.935,2.1850990343272008
Oakland,Michigan,5364,291,364,6.8%,42.74214,-83.16174000000002,2020-04-14 23:30 EDT,26,125,1250.843,4.288307965108331
Wayne,Michigan,5205,338,393,7.6%,42.28515,-83.3836,2020-04-14 23:30 EDT,26,163,1761.382,2.955065965247743
Macomb,Michigan,3620,202,293,8.1%,42.69565,-82.92171,2020-04-14 23:30 EDT,26,099,868.704,4.1671271227023245
Genesee,Michigan,1030,42,86,8.3%,43.0217016,-83.70675478,2020-04-14 23:30 EDT,26,049,409.361,2.51611658169684
Washtenaw,Michigan,772,36,21,2.7%,42.25322942,-83.83877634,2020-04-14 23:30 EDT,26,161,365.961,2.109514401807843
Kent,Michigan,325,14,14,4.3%,43.03216204,-85.54929822,2020-04-14 23:30 EDT,26,081,643.140,0.5053332089436203
Saginaw,Michigan,302,9,17,5.6%,43.33502489,-84.05317757,2020-04-14 23:30 EDT,26,145,192.778,1.5665687993443236
Ingham,Michigan,263,9,4,1.5%,42.59709245,-84.37353421,2020-04-14 23:30 EDT,26,065,289.564,0.9082620767774999
Livingston,Michigan,238,13,6,2.5%,42.60291818,-83.91152404,2020-04-14 23:30 EDT,26,093,188.482,1.2627200475376958
St. Clair,Michigan,211,5,7,3.3%,42.83189,-82.50220999999998,2020-04-14 23:30 EDT,26,147,159.566,1.3223368386749057
Monroe,Michigan,196,6,8,4.1%,41.91606,-83.3979,2020-04-14 23:30 EDT,26,115,149.699,1.3092939832597414
Jackson,Michigan,183,11,7,3.8%,42.24848235,-84.42344983,2020-04-14 23:30 EDT,26,075,158.913,1.1515735024824905
Lapeer,Michigan,117,11,9,7.7%,43.09013207,-83.22178574,2020-04-14 23:30 EDT,26,087,88.202,1.3265005328677353
Berrien,Michigan,111,6,5,4.5%,41.95468698,-86.41222292,2020-04-14 23:30 EDT,26,021,154.807,0.7170218400976699
Clinton,Michigan,98,5,4,4.1%,42.94365426,-84.60151416,2020-04-14 23:30 EDT,26,037,77.896,1.2580877066858376
Kalamazoo,Michigan,94,3,8,8.5%,42.24543721,-85.53116967,2020-04-14 23:30 EDT,26,077,261.573,0.35936430747821835
Calhoun,Michigan,90,7,3,3.3%,42.24653649,-85.00558363,2020-04-14 23:30 EDT,26,025,134.473,0.66927933488507
Muskegon,Michigan,85,17,5,5.9%,43.29120706,-86.15200005,2020-04-14 23:30 EDT,26,121,173.043,0.4912073877591119
Hillsdale,Michigan,79,2,9,11.4%,41.88776412,-84.59292627,2020-04-14 23:30 EDT,26,059,45.830,1.7237617281256818
Eaton,Michigan,76,2,5,6.6%,42.59607493,-84.83832067,2020-04-14 23:30 EDT,26,045,109.155,0.6962576153176675
Ottawa,Michigan,67,-2,2,3.0%,42.96071229,-85.99516567,2020-04-14 23:30 EDT,26,139,284.034,0.23588725293450785
Shiawassee,Michigan,62,9,1,1.6%,42.95373744500011,-84.146743014,2020-04-14 23:30 EDT,26,155,68.493,0.9052019914443813
Bay,Michigan,60,1,2,3.3%,43.70732889,-83.99203709,2020-04-14 23:30 EDT,26,017,104.786,0.5725955757448514
Lenawee,Michigan,53,3,0,0.0%,41.8950816170001,-84.06637217799991,2020-04-14 23:30 EDT,26,091,98.474,0.5382131324004307
Tuscola,Michigan,45,0,9,20.0%,43.46412684,-83.41682258,2020-04-14 23:30 EDT,26,157,53.250,0.8450704225352113
Isabella,Michigan,42,1,4,9.5%,43.64058966,-84.84678576,2020-04-14 23:30 EDT,26,073,70.775,0.5934298834334157
Otsego,Michigan,34,0,2,5.9%,45.0992,-84.6482,2020-04-14 23:30 EDT,26,137,24.397,1.3936139689306064
Midland,Michigan,33,0,1,3.0%,43.6468649,-84.38811027,2020-04-14 23:30 EDT,26,111,83.389,0.3957356485867441
Branch,Michigan,29,0,2,6.9%,41.9161092840001,-85.05902759899999,2020-04-14 23:30 EDT,26,023,43.584,0.6653817914831132
Marquette,Michigan,26,2,5,19.2%,46.43125285,-87.64159342,2020-04-14 23:30 EDT,26,103,66.939,0.38841333154065644
Allegan,Michigan,23,0,0,0.0%,42.5912512,-85.88819122,2020-04-14 23:30 EDT,26,005,115.250,0.19956616052060738
Montcalm,Michigan,23,1,1,4.3%,43.31095473,-85.1525018,2020-04-14 23:30 EDT,26,117,63.209,0.36387223338448643
Sanilac,Michigan,23,0,2,8.7%,43.42356616000011,-82.82012594799991,2020-04-14 23:30 EDT,26,151,41.376,0.5558778035576178
St. Joseph,Michigan,22,1,1,4.5%,42.10339000000001,-86.48526,2020-04-14 23:30 EDT,26,149,60.897,0.36126574379690296
Van Buren,Michigan,22,1,2,9.1%,42.2513072570001,-86.01888992499991,2020-04-14 23:30 EDT,26,159,75.272,0.2922733552981189
Emmet,Michigan,21,0,2,9.5%,45.52025096,-84.89032852,2020-04-14 23:30 EDT,26,047,33.039,0.6356124580041769
Grand Traverse,Michigan,17,0,3,17.6%,44.66867927,-85.56047625,2020-04-14 23:30 EDT,26,055,91.746,0.18529418176269263
Ionia,Michigan,17,2,2,11.8%,42.945088749,-85.0745858019999,2020-04-14 23:30 EDT,26,067,64.176,0.26489653453004236
Crawford,Michigan,15,3,1,6.7%,44.683617921999996,-84.610321673,2020-04-14 23:30 EDT,26,039,13.836,1.0841283607979186
Barry,Michigan,14,3,1,7.1%,42.59502105,-85.30897251,2020-04-14 23:30 EDT,26,015,60.057,0.23311187705013572
Kalkaska,Michigan,14,0,2,14.3%,44.68468247,-85.09024392,2020-04-14 23:30 EDT,26,079,17.463,0.8016950123117448
Cass,Michigan,13,2,1,7.7%,41.915392847000106,-85.993454001,2020-04-14 23:30 EDT,26,027,51.460,0.2526233968130587
Cheboygan,Michigan,12,0,1,8.3%,45.4460469310001,-84.50037714699991,2020-04-14 23:30 EDT,26,031,25.458,0.47136460051850104
Charlevoix,Michigan,11,0,1,9.1%,45.31653,-85.26071999999998,2020-04-14 23:30 EDT,26,029,26.219,0.4195430794462031
Mecosta,Michigan,11,0,1,9.1%,43.640810722,-85.3246211859999,2020-04-14 23:30 EDT,26,107,43.264,0.25425295857988167
Manistee,Michigan,10,0,0,0.0%,44.33296585,-86.056664,2020-04-14 23:30 EDT,26,101,24.444,0.4090983472426771
Delta,Michigan,9,0,1,11.1%,45.919666445000104,-86.92448818199993,2020-04-14 23:30 EDT,26,041,36.190,0.24868748273003594
Roscommon,Michigan,9,0,0,0.0%,44.33561169,-84.61161259999999,2020-04-14 23:30 EDT,26,143,23.877,0.3769317753486619
Antrim,Michigan,8,0,0,0.0%,44.999080393,-85.140206932,2020-04-14 23:30 EDT,26,009,23.177,0.3451697803857272
Gratiot,Michigan,7,0,0,0.0%,43.2927163460001,-84.604892691,2020-04-14 23:30 EDT,26,057,41.067,0.17045316190615337
Newaygo,Michigan,7,1,0,0.0%,43.55418492,-85.80088959,2020-04-14 23:30 EDT,26,123,48.142,0.145403182252503
Wexford,Michigan,7,0,1,14.3%,44.33836176,-85.57838222,2020-04-14 23:30 EDT,26,165,33.111,0.21141010540303828
Huron,Michigan,6,0,0,0.0%,43.8333068380001,-83.0188931639999,2020-04-14 23:30 EDT,26,063,31.543,0.19021652981644102
Arenac,Michigan,5,0,0,0.0%,44.065459288999996,-83.895003448,2020-04-14 23:30 EDT,26,011,15.165,0.3297065611605671
Gladwin,Michigan,5,1,0,0.0%,43.9906941,-84.38823148,2020-04-14 23:30 EDT,26,051,25.289,0.19771442128988886
Osceola,Michigan,5,0,0,0.0%,43.9898326430001,-85.3252568979999,2020-04-14 23:30 EDT,26,133,23.232,0.21522038567493113
Clare,Michigan,4,0,1,25.0%,43.9878737,-84.84783104,2020-04-14 23:30 EDT,26,035,30.616,0.13065064018813694
Gogebic,Michigan,4,0,1,25.0%,46.408927934000104,-89.6945112809999,2020-04-14 23:30 EDT,26,053,15.414,0.25950434669780714
Iosco,Michigan,4,0,1,25.0%,44.3558242330001,-83.63589798699999,2020-04-14 23:30 EDT,26,069,25.247,0.15843466550481244
Leelanau,Michigan,4,0,0,0.0%,44.93849073,-85.81182341,2020-04-14 23:30 EDT,26,089,21.639,0.18485142566662047
Mackinac,Michigan,4,0,0,0.0%,46.081649603000095,-85.094924497,2020-04-14 23:30 EDT,26,097,10.817,0.36978829620042525
Ogemaw,Michigan,4,0,0,0.0%,44.33494161000011,-84.126424607,2020-04-14 23:30 EDT,26,129,20.928,0.191131498470948
Oscoda,Michigan,4,0,0,0.0%,44.681756044,-84.129734043,2020-04-14 23:30 EDT,26,135,8.277,0.48326688413676444
Dickinson,Michigan,3,0,2,66.7%,46.009223988,-87.87027984299989,2020-04-14 23:30 EDT,26,043,25.570,0.11732499022291748
Oceana,Michigan,3,0,1,33.3%,43.64089041,-86.2675668569999,2020-04-14 23:30 EDT,26,127,26.417,0.11356323579513193
Schoolcraft,Michigan,3,0,0,0.0%,46.1965774290001,-86.19958967199993,2020-04-14 23:30 EDT,26,153,8.069,0.37179328293468833
Mason,Michigan,3,1,0,0.0%,43.995265905,-86.249942511,2020-04-14 23:30 EDT,26,105,28.884,0.1038637307852098
Houghton,Michigan,2,1,0,0.0%,46.897663355000105,-88.68764908,2020-04-14 23:30 EDT,26,061,36.360,0.05500550055005501
Presque Isle,Michigan,2,0,0,0.0%,45.3347400000001,-83.4922,2020-04-14 23:30 EDT,26,141,12.797,0.15628662967883097
Lake,Michigan,2,0,0,0.0%,43.99004793200004,-85.80163354799998,2020-04-14 23:30 EDT,26,085,11.763,0.17002465357476834
Missaukee,Michigan,1,0,1,100.0%,44.3373128970001,-85.094675829,2020-04-14 23:30 EDT,26,113,15.006,0.06664001066240172
