County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,63306,6147,2624,4.10%,40.71455,-74.00714,2020-04-04 22:48 EDT,36,500,8443.713,7.497412572
Nassau,New York,13346,1322,95,0.70%,40.74165225,-73.58899619,2020-04-04 22:48 EDT,36,59,1356.564,9.838090942
Westchester,New York,13081,730,67,0.50%,41.16319759,-73.7560629,2020-04-04 22:48 EDT,36,119,968.815,13.5020618
Suffolk,New York,11370,1216,124,1.10%,40.87732808,-72.85898036,2020-04-04 22:48 EDT,36,103,1487.901,7.641637448
Rockland,New York,4872,583,69,1.40%,41.152374,-74.02401032,2020-04-04 22:48 EDT,36,87,323.686,15.0516241
Orange,New York,2863,393,51,1.80%,41.40206825,-74.30559567,2020-04-04 22:48 EDT,36,71,378.227,7.569528352
Erie,New York,945,143,26,2.80%,42.76382119,-78.73224973,2020-04-04 22:48 EDT,36,29,919.866,1.027323545
Dutchess,New York,938,129,8,0.90%,41.76477515,-73.74281684,2020-04-04 22:48 EDT,36,27,293.894,3.191626913
Monroe,New York,512,48,17,3.30%,43.14604282,-77.69674911,2020-04-04 22:48 EDT,36,55,744.248,0.687942729
Onondaga,New York,349,27,4,1.10%,43.00487,-76.1836,2020-04-04 22:48 EDT,36,67,464.242,0.751763089
Ulster,New York,318,52,4,1.30%,41.95986,-73.99033,2020-04-04 22:48 EDT,36,111,179.303,1.773534185
Albany,New York,293,26,6,2.00%,42.65155,-73.75521,2020-04-04 22:48 EDT,36,1,307.426,0.953074886
Putnam,New York,283,31,7,2.50%,41.42653455,-73.7494999,2020-04-04 22:48 EDT,36,79,99.07,2.856566064
Sullivan,New York,193,5,5,2.60%,41.71631354,-74.76811083,2020-04-04 22:48 EDT,36,105,75.211,2.566113999
Saratoga,New York,150,9,1,0.70%,43.06974,-73.63661,2020-04-04 22:48 EDT,36,91,227.377,0.659697331
Schenectady,New York,117,7,6,5.10%,42.81238,-73.94122,2020-04-04 22:48 EDT,36,93,154.883,0.755408922
Niagara,New York,101,7,0,0.00%,43.19998147,-78.74522262,2020-04-04 22:48 EDT,36,63,211.704,0.477081208
Tompkins,New York,95,2,0,0.00%,42.44933495,-76.47064359,2020-04-04 22:48 EDT,36,109,102.962,0.9226705
Oneida,New York,86,15,2,2.30%,43.24306498,-75.42583597,2020-04-04 22:48 EDT,36,65,230.782,0.372646047
Madison,New York,85,7,2,2.40%,42.91290749,-75.66978904,2020-04-04 22:48 EDT,36,53,71.359,1.19116019
Rensselaer,New York,73,6,1,1.40%,42.71086263,-73.5097379,2020-04-04 22:48 EDT,36,83,159.431,0.45787833
Broome,New York,65,9,4,6.20%,42.16021802,-75.81964586,2020-04-04 22:48 EDT,36,7,194.402,0.3343587
Columbia,New York,61,4,3,4.90%,42.25001078,-73.63186134,2020-04-04 22:48 EDT,36,21,60.919,1.001329634
Steuben,New York,60,14,0,0.00%,42.26782685,-77.38382596,2020-04-04 22:48 EDT,36,101,96.927,0.619022563
St. Lawrence,New York,58,10,0,0.00%,44.17727,-76.16772,2020-04-04 22:48 EDT,36,89,109.558,0.529399953
Chenango,New York,39,7,0,0.00%,42.49349443,-75.6115371,2020-04-04 22:48 EDT,36,17,48.348,0.806651775
Chemung,New York,36,12,0,0.00%,42.1411881,-76.7600106,2020-04-04 22:48 EDT,36,15,85.74,0.419874038
Clinton,New York,31,1,0,0.00%,44.7904,-73.6006,2020-04-04 22:48 EDT,36,19,80.794,0.383691858
Ontario,New York,31,3,0,0.00%,42.85288942,-77.29981098,2020-04-04 22:48 EDT,36,69,109.472,0.283177433
Oswego,New York,30,2,0,0.00%,43.4365257,-76.14924403,2020-04-04 22:48 EDT,36,75,119.104,0.251880709
Wayne,New York,30,0,0,0.00%,42.474131,-77.09816,2020-04-04 22:48 EDT,36,117,90.856,0.330192833
