County Name,State Name,Confirmed,Newly Confirmed,Death,New Death,Fatality Rate,STATEFP,COUNTYFP,Last Update
Non-Florida-Resident,Florida,13,0,0,0,0,12,,2020-03-16 13:00 EDT
Miami-Dade,Florida,13,0,0,0,0,12,086,2020-03-16 13:00 EDT
Outside-Florida,Florida,6,0,1,0,0.167,12,,2020-03-16 13:00 EDT
Lee,Florida,5,0,2,0,0.4,12,071,2020-03-16 13:00 EDT
Volusia,Florida,5,0,0,0,0,12,127,2020-03-16 13:00 EDT
Collier,Florida,5,0,0,0,0,12,021,2020-03-16 13:00 EDT
Palm Beach,Florida,5,0,0,0,0,12,099,2020-03-16 13:00 EDT
Manatee,Florida,4,0,0,0,0,12,081,2020-03-16 13:00 EDT
Hillsborough,Florida,4,0,0,0,0,12,057,2020-03-16 13:00 EDT
Duval,Florida,4,0,0,0,0,12,031,2020-03-16 13:00 EDT
Clay,Florida,3,0,0,0,0,12,019,2020-03-16 13:00 EDT
Pinellas,Florida,2,0,0,0,0,12,103,2020-03-16 13:00 EDT
Pasco,Florida,2,0,0,0,0,12,101,2020-03-16 13:00 EDT
Orange,Florida,2,0,0,0,0,12,095,2020-03-16 13:00 EDT
Santa Rosa,Florida,1,0,1,0,1,12,113,2020-03-16 13:00 EDT
Charlotte,Florida,1,0,0,0,0,12,015,2020-03-16 13:00 EDT
Okaloosa,Florida,1,0,0,0,0,12,091,2020-03-16 13:00 EDT
Nassau,Florida,1,0,0,0,0,12,089,2020-03-16 13:00 EDT
Seminole,Florida,1,0,0,0,0,12,117,2020-03-16 13:00 EDT
Alachua,Florida,1,0,0,0,0,12,001,2020-03-16 13:00 EDT
Osceola,Florida,1,0,0,0,0,12,097,2020-03-16 13:00 EDT
Sarasota,Florida,1,0,0,0,0,12,115,2020-03-16 13:00 EDT
Citrus,Florida,1,0,0,0,0,12,017,2020-03-16 13:00 EDT
St. Johns,Florida,1,0,0,0,0,12,109,2020-03-16 13:00 EDT
Denver,Colorado,25,0,0,0,0,08,031,2020-03-16 13:00 EDT
Eagle,Colorado,24,0,0,0,0,08,037,2020-03-16 13:00 EDT
Arapahoe,Colorado,15,0,0,0,0,08,005,2020-03-16 13:00 EDT
Jefferson,Colorado,12,0,0,0,0,08,059,2020-03-16 13:00 EDT
Pitkin,Colorado,11,0,0,0,0,08,097,2020-03-16 13:00 EDT
Douglas,Colorado,8,0,0,0,0,08,035,2020-03-16 13:00 EDT
Gunnison,Colorado,8,0,0,0,0,08,051,2020-03-16 13:00 EDT
Boulder,Colorado,7,0,0,0,0,08,013,2020-03-16 13:00 EDT
Adams,Colorado,6,0,0,0,0,08,001,2020-03-16 13:00 EDT
Weld,Colorado,5,0,0,0,0,08,123,2020-03-16 13:00 EDT
El Paso,Colorado,4,0,1,0,0.25,08,041,2020-03-16 13:00 EDT
Waiting on information,Colorado,2,0,0,0,0,08,,2020-03-16 13:00 EDT
Summit,Colorado,1,0,0,0,0,08,117,2020-03-16 13:00 EDT
Larimer,Colorado,1,0,0,0,0,08,069,2020-03-16 13:00 EDT
Pueblo,Colorado,1,0,0,0,0,08,101,2020-03-16 13:00 EDT
Routt,Colorado,1,0,0,0,0,08,107,2020-03-16 13:00 EDT
Mesa,Colorado,1,0,0,0,0,08,077,2020-03-16 13:00 EDT
Garfield,Colorado,1,0,0,0,0,08,045,2020-03-16 13:00 EDT
Clear Creek,Colorado,1,0,0,0,0,08,019,2020-03-16 13:00 EDT
Fulton,Georgia,27,7,0,0,0,13,121,2020-03-16 13:00 EDT
Cobb,Georgia,22,3,1,0,0.045,13,067,2020-03-16 13:00 EDT
DeKalb,Georgia,10,0,0,0,0,13,089,2020-03-16 13:00 EDT
Bartow,Georgia,9,0,0,0,0,13,015,2020-03-16 13:00 EDT
Cherokee,Georgia,6,0,0,0,0,13,057,2020-03-16 13:00 EDT
Dougherty,Georgia,6,0,0,0,0,13,095,2020-03-16 13:00 EDT
Fayette,Georgia,5,0,0,0,0,13,113,2020-03-16 13:00 EDT
Floyd,Georgia,4,0,0,0,0,13,115,2020-03-16 13:00 EDT
Gwinnett,Georgia,4,0,0,0,0,13,135,2020-03-16 13:00 EDT
Lowndes,Georgia,2,0,0,0,0,13,185,2020-03-16 13:00 EDT
Lee,Georgia,2,0,0,0,0,13,177,2020-03-16 13:00 EDT
Gordon,Georgia,2,0,0,0,0,13,129,2020-03-16 13:00 EDT
Coweta,Georgia,2,0,0,0,0,13,077,2020-03-16 13:00 EDT
Clarke,Georgia,2,0,0,0,0,13,059,2020-03-16 13:00 EDT
Clayton,Georgia,2,0,0,0,0,13,063,2020-03-16 13:00 EDT
Polk,Georgia,1,0,0,0,0,13,233,2020-03-16 13:00 EDT
Charlton,Georgia,1,0,0,0,0,13,049,2020-03-16 13:00 EDT
Henry,Georgia,1,0,0,0,0,13,151,2020-03-16 13:00 EDT
Newton,Georgia,1,0,0,0,0,13,217,2020-03-16 13:00 EDT
Troup,Georgia,1,0,0,0,0,13,285,2020-03-16 13:00 EDT
Orleans,Louisiana,79,5,2,0,0.025,22,071,2020-03-16 13:00 EDT
Jefferson,Louisiana,16,2,0,0,0,22,051,2020-03-16 13:00 EDT
St. Tammany,Louisiana,5,1,0,0,0,22,103,2020-03-16 13:00 EDT
Caddo,Louisiana,3,1,0,0,0,22,017,2020-03-16 13:00 EDT
St. Charles,Louisiana,3,0,0,0,0,22,089,2020-03-16 13:00 EDT
Terrebonne,Louisiana,3,1,0,0,0,22,109,2020-03-16 13:00 EDT
Lafourche,Louisiana,2,1,0,0,0,22,057,2020-03-16 13:00 EDT
Bossier,Louisiana,1,0,0,0,0,22,015,2020-03-16 13:00 EDT
St. John the Baptist,Louisiana,1,0,0,0,0,22,095,2020-03-16 13:00 EDT
St. Bernard,Louisiana,1,0,0,0,0,22,087,2020-03-16 13:00 EDT
Bergen,New Jersey,29,0,1,0,0.034,34,003,2020-03-16 13:00 EDT
Middlesex,New Jersey,18,0,0,0,0,34,023,2020-03-16 13:00 EDT
Hudson,New Jersey,12,0,0,0,0,34,017,2020-03-16 13:00 EDT
Monmouth,New Jersey,12,0,1,0,0.083,34,025,2020-03-16 13:00 EDT
Essex,New Jersey,11,0,0,0,0,34,013,2020-03-16 13:00 EDT
Burlington,New Jersey,6,0,0,0,0,34,005,2020-03-16 13:00 EDT
Passaic,New Jersey,5,0,0,0,0,34,031,2020-03-16 13:00 EDT
Union,New Jersey,4,0,0,0,0,34,039,2020-03-16 13:00 EDT
Morris,New Jersey,4,0,0,0,0,34,027,2020-03-16 13:00 EDT
Ocean,New Jersey,3,0,0,0,0,34,029,2020-03-16 13:00 EDT
Camden,New Jersey,2,0,0,0,0,34,007,2020-03-16 13:00 EDT
Somerset,New Jersey,1,0,0,0,0,34,035,2020-03-16 13:00 EDT
Mercer,New Jersey,1,0,0,0,0,34,021,2020-03-16 13:00 EDT
Hunterdon,New Jersey,1,0,0,0,0,34,019,2020-03-16 13:00 EDT
Cook,Illinois,61,0,0,0,0,17,031,2020-03-16 13:00 EDT
Kane,Illinois,4,0,0,0,0,17,089,2020-03-16 13:00 EDT
Lake,Illinois,4,0,0,0,0,17,097,2020-03-16 13:00 EDT
St. Clair,Illinois,4,0,0,0,0,17,163,2020-03-16 13:00 EDT
McHenry,Illinois,2,0,0,0,0,17,111,2020-03-16 13:00 EDT
Sangamon,Illinois,2,0,0,0,0,17,167,2020-03-16 13:00 EDT
DuPage,Illinois,1,0,0,0,0,17,043,2020-03-16 13:00 EDT
Woodford,Illinois,1,0,0,0,0,17,203,2020-03-16 13:00 EDT
