County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP
San Francisco,California,70,19,0,0%,37.77712,-122.41964,2020-03-19 20:03 EDT,6,75
Sacramento,California,45,5,3,6.70%,38.57944,-121.49085,2020-03-19 20:03 EDT,6,67
Orange,California,42,0,0,0%,33.78787,-117.85071,2020-03-19 20:03 EDT,6,59
Contra Costa,California,41,2,0,0%,37.91793732,-121.9259354,2020-03-19 20:03 EDT,6,13
Alameda,California,34,0,0,0%,37.76683,-122.2453,2020-03-19 20:03 EDT,6,1
Riverside,California,16,0,3,18.80%,33.98171,-117.37404,2020-03-19 20:03 EDT,6,65
Marin,California,15,0,0,0%,38.07188727,-122.7195348,2020-03-19 20:03 EDT,6,41
Santa Cruz,California,14,1,0,0%,36.97424,-122.03098,2020-03-19 20:03 EDT,6,87
San Joaquin,California,14,0,2,14.30%,37.93479557,-121.2713112,2020-03-19 20:03 EDT,6,77
Ventura,California,13,1,0,0%,34.28082,-119.29232,2020-03-19 20:03 EDT,6,111
Placer,California,9,0,1,11.10%,39.05913563,-120.7536328,2020-03-19 20:03 EDT,6,61
Solano,California,8,0,0,0%,38.27793363,-121.9272405,2020-03-19 20:03 EDT,6,95
San Luis Obispo,California,7,0,0,0%,35.28579,-120.66275,2020-03-19 20:03 EDT,6,79
Sonoma,California,6,0,0,0%,38.29188,-122.45728,2020-03-19 20:03 EDT,6,97
Yolo,California,5,0,0,0%,38.73431,-121.81279,2020-03-19 20:03 EDT,6,113
Stanislaus,California,5,0,0,0%,37.55932622,-120.9976619,2020-03-19 20:03 EDT,6,99
Tulare,California,5,0,0,0%,36.20649,-119.34305,2020-03-19 20:03 EDT,6,107
San Bernardino,California,5,0,0,0%,34.10524,-117.29412,2020-03-19 20:03 EDT,6,71
San Benito,California,3,0,0,0%,36.50506,-121.08332,2020-03-19 20:03 EDT,6,69
Fresno,California,3,0,0,0%,36.74084,-119.78552,2020-03-19 20:03 EDT,6,19
Santa Barbara,California,3,0,0,0%,34.41938,-119.69905,2020-03-19 20:03 EDT,6,83
Calaveras,California,2,0,0,0%,38.20473567,-120.5540655,2020-03-19 20:03 EDT,6,9
Imperial,California,2,0,0,0%,32.84748,-115.56952,2020-03-19 20:03 EDT,6,25
Monterey,California,2,0,0,0%,36.21714603,-121.2390196,2020-03-19 20:03 EDT,6,53
Humboldt,California,1,0,0,0%,40.69879803,-123.8737147,2020-03-19 20:03 EDT,6,23
Madera,California,1,0,0,0%,36.96205,-120.06399,2020-03-19 20:03 EDT,6,39
Shasta,California,1,0,0,0%,40.59828,-122.49095,2020-03-19 20:03 EDT,6,89
Nevada,California,1,0,0,0%,39.2616,-121.0161,2020-03-19 20:03 EDT,6,57
