County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,72181,4630,3485,4.80%,40.71455,-74.00714,2020-04-06 21:40 EDT,36,500,8443.713,8.548490457
Nassau,New York,15616,1218,381,2.40%,40.74165225,-73.58899619,2020-04-06 21:40 EDT,36,59,1356.564,11.51143625
Westchester,New York,14294,571,211,1.50%,41.16319759,-73.7560629,2020-04-06 21:40 EDT,36,119,968.815,14.75410682
Suffolk,New York,14185,1056,199,1.40%,40.87732808,-72.85898036,2020-04-06 21:40 EDT,36,103,1487.901,9.533564397
Rockland,New York,5703,377,119,2.10%,41.152374,-74.02401032,2020-04-06 21:40 EDT,36,87,323.686,17.61892698
Orange,New York,3533,346,76,2.20%,41.40206825,-74.30559567,2020-04-06 21:40 EDT,36,71,378.227,9.340951333
Dutchess,New York,1189,112,9,0.80%,41.76477515,-73.74281684,2020-04-06 21:40 EDT,36,27,293.894,4.045676332
Erie,New York,1148,89,30,2.60%,42.76382119,-78.73224973,2020-04-06 21:40 EDT,36,29,919.866,1.248007862
Monroe,New York,574,26,26,4.50%,43.14604282,-77.69674911,2020-04-06 21:40 EDT,36,55,744.248,0.771248294
Ulster,New York,382,24,4,1.00%,41.95986,-73.99033,2020-04-06 21:40 EDT,36,111,179.303,2.130471883
Onondaga,New York,377,13,5,1.30%,43.00487,-76.1836,2020-04-06 21:40 EDT,36,67,464.242,0.81207646
Putnam,New York,345,31,7,2.00%,41.42653455,-73.7494999,2020-04-06 21:40 EDT,36,79,99.07,3.482386192
Albany,New York,319,14,8,2.50%,42.65155,-73.75521,2020-04-06 21:40 EDT,36,1,307.426,1.037648084
Sullivan,New York,253,60,6,2.40%,41.71631354,-74.76811083,2020-04-06 21:40 EDT,36,105,75.211,3.363869647
Saratoga,New York,153,3,4,2.60%,43.06974,-73.63661,2020-04-06 21:40 EDT,36,91,227.377,0.672891277
Schenectady,New York,138,10,7,5.10%,42.81238,-73.94122,2020-04-06 21:40 EDT,36,93,154.883,0.890995138
Niagara,New York,120,4,0,0.00%,43.19998147,-78.74522262,2020-04-06 21:40 EDT,36,63,211.704,0.566829158
Tompkins,New York,102,7,0,0.00%,42.44933495,-76.47064359,2020-04-06 21:40 EDT,36,109,102.962,0.990656747
Oneida,New York,100,5,2,2.00%,43.24306498,-75.42583597,2020-04-06 21:40 EDT,36,65,230.782,0.433309357
