"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"Oklahoma","United States","3","0","0","3","2020-03-13 02:00:00 * CTY: Tulsa 2; Jackson 1"
"Hawaii","United States","2","0","0","2","2020-03-09 11:30:00"
"Missouri","United States","2","0","0","2","2020-03-13 02:00:00 * CTY: St. Louis 1; Greene 1"
"Vermont","United States","2","0","0","2","2020-03-12 02:00:00 * CTY Bennington 1; Chittenden 1"
"Mississippi","United States","1","0","0","1","2020-03-12 02:00:00 * CTY Forrest 1"
"Wyoming","United States","1","0","0","1","2020-03-12 02:00:00 * CTY Sheridan 1"
"North Dakota","United States","1","0","0","1","2020-03-12 02:00:00 * CTY: Ward 1"
"Montana","United States","1","0","0","1","2020-03-11 18:00:00 * CTY unknown 1"
"Maine","United States","1","0","0","1","2020-03-12 17:20:00 * CTY: Androscoggin 1"
"Alaska","United States","1","0","0","1","2020-03-13 02:00:00 * CTY: unknown 1"
