"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","9,419","153","17","9,249","2020-03-19 03:00:00"
"New York","United States","3,086","20","0","3,066","2020-03-19 03:00:00 * CTY: New York 1871; Westchester 538; Nassau 278; Suffolk 152; Albany 36; Orange 32; Rockland 31; Erie 27; Monroe 22; Dutchess 20; Schenectady 14; Saratoga 14; Ulster 9; Onondaga 6; Tompkins 6; Rensselaer 4; Montgomery 2; Oneida 2; Putnam 2; Allegany 2; Greene 2; Wyoming 1; Clinton 1; Sullivan 1; Washington 1; Delaware 1; Genesee  1; Tioga 1; Ontario 1; Niagara 1; Herkimer 1; Chenango 1; Hamilton 1; Essex  1; Schoharie 1; Broome 1; Warren 1"
"Washington","United States","1,187","68","1","1,118","2020-03-19 03:00:00 * CTY: King 562; Snohomish 310; unknown 164; Pierce 56; Island 16; Skagit 14; Kitsap 9; Grant 8; Whatcom 7; Yakima 7; Thurston 6; Spokane 5; Clark 4; Kittitas 4; Jefferson 4; Chelan 2; Benton-Franklin 2; Lewis 1; Columbia 1; Cowlitz 1; Lincoln 1; Klickitat 1; Mason 1; Grays Harbor 1"
"California","United States","864","17","6","841","2020-03-19 03:00:00 * CTY: Los Angeles 190; Santa Clara 175; San Mateo 80; San Diego 76; San Francisco 51; Orange 42; Sacramento 40; Contra Costa 39; Alameda 31; Riverside 16; Marin 15; San Joaquin 14; Santa Cruz 13; Ventura 12; Placer 9; Solano 8; San Luis Obispo 7; Sonoma 6; Stanislaus 5; Tulare 5; Yolo 5; San Bernardino 5; Santa Barbara 3; Fresno 3; San Benito 3; Monterey 2; Calaveras 2; Imperial 2; Nevada 1; Shasta 1; Kern 1; Humboldt 1; Madera 1; Grand Princess  0"
"New Jersey","United States","427","5","1","421","2020-03-19 03:00:00 * CTY: Bergen 114; Essex 45; Middlesex 40; Hudson 34; Monmouth 32; unknown 28; Union 26; Morris 19; Passaic 18; Somerset 16; Mercer 15; Burlington 10; Camden 8; Ocean 8; Hunterdon 6; Atlantic 3; Gloucester  2; Gloucester 2; Warren 1"
"Florida","United States","328","8","0","320","2020-03-19 03:00:00 * CTY: Broward 80; Miami-Dade 77; Palm Beach 21; Hillsborough 14; Duval 14; Collier 13; Pinellas 12; Lee 11; Orange 11; Volusia 9; Osceola 8; Manatee 8; Alachua 7; Seminole 7; St. Johns 4; Clay 4; Okaloosa 4; Sarasota 4; Pasco 3; Citrus 3; Lake 2; Brevard 2; Polk 2; Charlotte 1; Nassau 1; Gadsden 1; Escambia 1; Leon 1; Walton 1; Sumter 1; Santa Rosa 1"
"Illinois","United States","290","1","2","287","2020-03-19 03:00:00 * CTY: Cook 178; DuPage 45; Lake 18; Unknown 16; Kane 4; McHenry 4; Sangamon 3; Clinton 3; Will 3; Peoria 3; St. Clair  3; Kendall 2; Winnebago 1; Whiteside 1; Cumberland 1; Jackson 1; Woodford 1; Williamson 1; Madison 1; Champaign 1"
"Louisiana","United States","280","8","0","272","2020-03-19 03:00:00 * CTY: Orleans 187; Jefferson 40; unknown 23; St. Tammany 8; Caddo 5; St. Charles 3; Terrebonne 3; Lafourche 3; East Baton Rouge 2; St. Bernard 2; Ascension 1; Bossier 1; Washington 1; St. John the Baptist 1; Jefferson Parish 0"
"Massachusetts","United States","256","0","1","255","2020-03-19 03:00:00 * CTY: Middlesex 100; Suffolk 51; Norfolk 45; Berkshire 17; Essex 14; Worcester 10; Bristol 5; Plymouth 5; Unknown 4; Barnstable 2; Hampden 2; Franklin 1"
"Texas","United States","223","3","0","220","2020-03-19 03:00:00 * CTY: Dallas 39; Bexar 25; Travis 23; Harris 18; Collin 13; Fort Bend 12; Houston 10; Tarrant 8; Montgomery 7; Bell 5; McLennan 5; Denton 5; Hays 5; Smith 5; Williamson 4; Brazoria 4; Galveston 4; Brazos 3; Matagorda 3; Lubbock 3; El Paso 3; Potter 2; Cameron 2; Brown 1; Webb 1; Comal 1; Ellis 1; Fannin 1; Gregg 1; Bowie 1; DeWitt 1; Grimes 1; Van Zandt 1; Johnson 1; Rusk 1; Wichita 1; Jefferson 1; Lavaca 1"
