"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","158","11","6","141","2020-03-05 02:00:00"
"Washington","United States","39","10","1","28","2020-03-04 19:30:00 * CTY: Snohomish 8; King 31"
"California","United States","36","1","2","33","2020-03-05 00:00:00"
"New York","United States","11","0","0","11","2020-03-04 21:00:00 * CTY: NYC 1; Westchester 10"
"Illinois","United States","4","0","2","2","2020-03-02 18:30:00 * CTY: Chicago 2; Cook 2"
"Oregon","United States","3","0","0","3","2020-03-02 18:30:00 * CTY: Washington 3"
"Florida","United States","3","0","0","3","2020-03-03 17:52:00 * CTY: Sarasota 1; Hillsborough 2"
"Arizona","United States","2","0","1","1","2020-03-03 22:00:00 * CTY: Tempe 1; Maricopa 1"
"Massachusetts","United States","2","0","0","2","2020-03-03 03:00:00 * CTY: Boston 1; Norfolk 1"
"Rhode Island","United States","2","0","0","2","2020-03-02 22:00:00 * CTY: Providence 2"
"New Hampshire","United States","2","0","0","2","2020-03-04 03:00:00 * CNTY: Crafton 2"
"Georgia","United States","2","0","0","2","2020-03-03 03:00:00 * CTY: Fulton 2"
"Texas","United States","1","0","0","1","2020-03-05 00:00:00 * CTY: Fort Bend 1; presumptive confirmed case"
"Wisconsin","United States","1","0","0","1","2020-02-05 21:53:00 * CTY: Dane 1"
"North Carolina","United States","1","0","0","1","2020-03-03 21:00:00 * CTY: Wake 1"
"New Jersey","United States","1","0","0","1","2020-03-05 02:00:00 * CTY: Bergen 1"
