"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","3,806","69","8","3,729","2020-03-16 03:00:00"
"Washington","United States","769","42","1","726","2020-03-16 03:00:00 * CTY: King 420; Snohomish 176; unknown 102; Pierce 29; Island 6; Skagit 4; Yakima 4; Kittitas 3; Whatcom 3; Grant 3; Kitsap 3; Jefferson 3; Spokane 3; Clark 3; Thurston 3; Lincoln 1; Columbia 1; Grays Harbor 1; Cowlitz 1"
"New York","United States","746","6","0","740","2020-03-16 03:00:00 * CTY: New York 329; Westchester 196; Nassau 98; Suffolk 47; Rockland 13; Albany 11; Monroe 10; Erie 7; Dutchess 7; Orange 6; Ulster 5; Saratoga 3; Putnam 2; Greene 2; Allegany 2; Schenectady 2; Herkimer 1; Tompkins 1; Broome 1; Delaware 1; Montgomery 1; Tioga 1"
"California","United States","458","6","2","450","2020-03-16 03:00:00 * CTY: Santa Clara 114; Los Angeles 69; San Francisco 37; San Diego 35; Sacramento 32; San Mateo 31; Contra Costa 29; Orange 17; Alameda 15; Riverside 14; Marin 9; San Joaquin 8; Santa Cruz 7; Solano 7; Placer 5; Ventura 4; Sonoma 4; San Benito 3; San Luis Obispo 2; Stanislaus 2; Tulare 2; Imperial 2; Yolo 2; Calaveras 2; Shasta 1; San Bernardino 1; Madera 1; Fresno 1; Humboldt 1; Santa Barbara 1"
"Massachusetts","United States","164","0","1","163","2020-03-16 03:00:00 * CTY: Middlesex 75; Suffolk 31; Norfolk 31; Berkshire 9; Essex 6; Worcester 6;  2; Hampden 1; Bristol 1; Barnstable 1; Plymouth 1"
"Florida","United States","149","5","0","144","2020-03-16 03:00:00 * CTY: Broward 36;  30; Non-Florida-Resident 13; Miami-Dade 13; Outside-Florida 6; Collier 5; Lee 5; Volusia 5; Palm Beach 5; Hillsborough 4; Duval 4; Manatee 4; Clay 3; Orange 2; Pasco 2; Pinellas 2; Nassau 1; Alachua 1; Sarasota 1; Citrus 1; Osceola 1; Charlotte 1; Santa Rosa 1; Okaloosa 1; Seminole 1; St. Johns 1"
"Colorado","United States","135","1","0","134","2020-03-16 03:00:00 * CTY: Denver 25; Eagle 24; Arapahoe 15; Jefferson 12; Pitkin 11; Douglas 8; Gunnison 8; Boulder 7; Adams 6; Weld 5; El Paso 4; Waiting on information 2; Summit 1; Mesa  1; Pueblo 1; Clear Creek 1; unknown 1; Garfield 1; Routt 1; Larimer 1"
"Georgia","United States","111","1","0","110","2020-03-16 03:00:00 * CTY: Fulton 20; Cobb 19;  11; DeKalb 10; Bartow 9; Cherokee 6; Dougherty 6; Fayette 5; Gwinnett 4; Floyd 4; Clarke 2; Gordon 2; Lee 2; Lowndes 2; Clayton 2; Coweta 2; Charlton 1; Henry 1; Polk 1; Troup  1; Newton 1"
"New Jersey","United States","109","2","0","107","2020-03-16 03:00:00 * CTY: Bergen 29; Middlesex 18; Monmouth 12; Hudson 12; Essex 11; Burlington 6; Passaic 5; Union 4; Morris 4; Ocean 3; Camden 2; Mercer 1; Hunterdon 1; Somerset 1"
"Louisiana","United States","103","2","0","101","2020-03-16 03:00:00 * CTY: Orleans 74; Jefferson 14; St. Tammany 4; St. Charles 3; Terrebonne 2; Caddo 2; St. John the Baptist 1; St. Bernard 1; Lafourche 1; Bossier 1"
"Illinois","United States","93","0","2","91","2020-03-16 03:00:00 * CTY: Cook 61;  12; Lake 4; St. Clair  4; Kane 4; Sangamon  2; McHenry 2; Cumberland 1; DuPage 1; Woodford 1; Champaign 1"
