"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","4,736","92","11","4,633","2020-03-17 03:00:00"
"New York","United States","969","10","0","959","2020-03-17 02:00:00 * CTY: New York 463; Westchester 220; Nassau 109; Suffolk 74; Rockland 16; Albany 15; Monroe 11; Orange 11; Dutchess 10; Erie 7; Ulster 7; Saratoga 5; Schenectady 4; Allegany 2; Tompkins 2; Putnam 2; Onondaga  2; Greene 2; Broome 1; Clinton 1; Delaware 1; Montgomery 1; Herkimer 1; Tioga 1; Ontario 1"
"Washington","United States","904","48","1","855","2020-03-17 03:00:00 * CTY: King 488; Snohomish 200; unknown 121; Pierce 38; Kitsap 7; Grant 7; Skagit 7; Island 7; Thurston 4; Yakima 4; Clark 4; Spokane 3; Jefferson 3; Whatcom 3; Kittitas 3; Lewis 1; Columbia 1; Cowlitz 1; Lincoln 1; Grays Harbor 1"
"California","United States","567","11","2","554","2020-03-17 03:00:00 * CTY: Santa Clara 138; Los Angeles 94; San Diego 55; San Mateo 41; San Francisco 40; Contra Costa 34; Sacramento 33; Orange 22; Alameda 18; Riverside 15; Marin 11; Santa Cruz 9; San Joaquin 8; Solano 7; Sonoma 6; Placer 5; Ventura 4; Tulare 3; Stanislaus 3; San Luis Obispo 3; San Benito 3; Calaveras 2; Fresno 2; San Bernardino 2; Imperial 2; Yolo 2; Nevada 1; Shasta 1; Santa Barbara 1; Madera 1; Humboldt 1"
"Massachusetts","United States","197","0","1","196","2020-03-17 02:00:00 * CTY: Middlesex 83; Suffolk 36; Norfolk 36; Berkshire 11; Unknown 10; Essex 8; Worcester 6; Plymouth 3; Bristol 2; Barnstable 1; Hampden 1"
"New Jersey","United States","179","3","1","175","2020-03-17 02:00:00 * CTY: Bergen 61; Essex 20; Hudson 20; Middlesex 17; Monmouth 14; Passaic 8; Union 8; Morris 6; Mercer 6; Somerset 5; Burlington 5; Ocean 3; Camden 3; unknown 2; Hunterdon 1"
"Florida","United States","162","5","0","157","2020-03-17 02:00:00 * CTY: Broward 39; Miami-Dade 23; Non-Florida-Resident 18; Palm Beach 8; Volusia 7; Outside-Florida 6; Collier 6; Manatee 5; Duval 5; Hillsborough 5; Osceola 4; Pinellas 4; Seminole 4; Lee 4; Orange 3; Sarasota 3; Clay 3; Alachua 2; Pasco 2; St. Johns 2; Brevard 1; Santa Rosa 1; Charlotte 1; Unknown 1; Nassau 1; Escambia 1; Citrus 1; Lake 1; Okaloosa 1"
"Colorado","United States","160","1","0","159","2020-03-17 02:00:00 * CTY:  25; Denver 25; Eagle 24; Arapahoe 15; Jefferson 12; Pitkin 11; Douglas 8; Gunnison 8; Boulder 7; Adams 6; Weld 5; El Paso 4; Waiting on information 2; Clear Creek 1; Pueblo 1; Garfield 1; Mesa  1; Larimer 1; Routt 1; Summit 1; unknown 1"
"Louisiana","United States","136","3","0","133","2020-03-17 02:00:00 * CTY: Orleans 79; unknown 21; Jefferson 16; St. Tammany 5; St. Charles 3; Terrebonne 3; Caddo 3; Lafourche 2; Ascension 1; Bossier 1; St. Bernard 1; St. John the Baptist 1"
"Georgia","United States","123","1","0","122","2020-03-17 03:00:00 * CTY: Fulton 27; Cobb 22; DeKalb 10; Bartow 9; Cherokee 7; Dougherty 6; Gwinnett 5; Clayton 5; Fayette 5; Floyd 4; Clarke 3; Lowndes 3; Gordon 2; Lee 2; Henry 2; Coweta 2; Augusta  2; Hall 1; Paulding 1; Charlton 1; Newton 1; Troup  1; Forsyth 1; Polk 1"
"Illinois","United States","106","0","0","106","2020-03-17 03:00:00 * CTY: Cook 76; Lake 6; DuPage 5; Sangamon 4; Kane 3; McHenry 2; St. Clair  2; Winnebago 1; Peoria 1; Whiteside 1; Cumberland 1; Champaign 1; Clinton 1; Will 1; Woodford 1"
"Texas","United States","95","1","0","94","2020-03-17 03:00:00 * CTY: Dallas 19; Harris 13; Travis 10; Fort Bend 9; Collin 8; Tarrant 5; Bexar 4; Montgomery 4; Smith 4; Hays 3; El Paso 3; Brazoria 2; Bell 2; Matagorda 2; Webb 1; Galveston 1; Gregg 1; Bowie 1; Rusk 1; Denton 1; Lavaca 1"
