"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","3,049","60","8","2,981","2020-03-15 03:00:00"
"Washington","United States","642","40","1","601","2020-03-15 03:00:00 * CTY: King 387; Snohomish 154; unknown 39; Pierce 26; Island 6; Yakima 4; Skagit 4; Clark 3; Thurston 3; Spokane 3; Kittitas 3; Kitsap 3; Whatcom 2; Grant 2; Columbia 1; Grays Harbor 1; Jefferson 1"
"New York","United States","615","2","0","613","2020-03-15 03:00:00 * CTY: New York 269; Westchester 178; Nassau 79; Suffolk 41; Rockland 12; Albany 7; Orange 6; Ulster 5; Dutchess 4; Erie 3; Saratoga 3; Monroe 2; Tompkins 1; Delaware 1; Herkimer 1; Tioga 1; Schenectady 1; Broome 1"
"California","United States","374","5","2","367","2020-03-15 03:00:00 * CTY: Santa Clara 91; Los Angeles 53; San Mateo 32; Sacramento 29; Contra Costa 29; San Francisco 28; San Diego 16; Orange 14; Riverside 14; Alameda 11; San Joaquin 8; Santa Cruz 7; Solano 6; Marin 5; Ventura 5; Placer 5; San Benito 3; Calaveras 2; Stanislaus 2; Sonoma 2; Tulare 2; Yolo 2; Imperial 2; Humboldt 1; Madera 1; unknown 1; Fresno 1; Shasta 1; San Luis Obispo 1"
"Massachusetts","United States","138","0","1","137","2020-03-15 03:00:00 * CTY: Middlesex 65; Norfolk 28; Suffolk 27; Berkshire 9; Essex 5; Worcester 2; Barnstable 1; Bristol 1"
"Florida","United States","116","4","0","112","2020-03-15 03:00:00 * CTY: unknown 41; Broward 20; Miami-Dade 8; Palm Beach 5; Collier 5; Volusia 5; Manatee 4; Duval 4; Lee 4; Hillsborough 4; Clay 3; Pinellas 2; Pasco 2; Okaloosa 1; Charlotte 1; Seminole 1; Osceola 1; Sarasota 1; Alachua 1; Nassau 1; Orange 1; Santa Rosa 1"
"Colorado","United States","101","1","0","100","2020-03-15 03:00:00 * CTY: Denver 21; Eagle 20; Pitkin 11; Arapahoe 10; Jefferson 9; Gunnison 6; Adams 6; Douglas 4; Weld 3; El Paso 3; Summit 2;  2; Pueblo 1; Routt 1; Mesa  1; Larimer 1"
"Louisiana","United States","77","1","0","76","2020-03-15 03:00:00 * CTY: Orleans 53; Jefferson 11; unknown 4; St. Tammany 2; St. Charles 2; Terrebonne 1; Lafourche 1; St. John the Baptist 1; Caddo 1; Bossier 1"
"Georgia","United States","75","1","0","74","2020-03-15 03:00:00 * CTY: Cobb 15; Fulton 13; DeKalb 8; Bartow 7; Dougherty 7; Cherokee 5; Fayette 4; Floyd 3; Gordon 2; Coweta 2; Gwinnett 2; Clarke 2; Henry 1; Lowndes 1; Charlton 1; Polk 1; Lee 1"
"New Jersey","United States","70","2","0","68","2020-03-15 03:00:00 * CTY: Bergen 25; Middlesex 10; Monmouth 8; Essex 7; Hudson 5; Union 1; Morris 3; Burlington 3; Passaic 2; Camden 2; Ocean 1; Somerset 1; Hunterdon 1; Mercer 1"
"Illinois","United States","66","0","2","64","2020-03-15 03:00:00 * CTY: Cook 50; Lake 3; Kane 3; McHenry 2; Sangamon  2; St. Clair  2; Woodford 1; Coles 1; Cumberland 1; DuPage 1"
"Texas","United States","63","0","0","63","2020-03-15 03:00:00 * CTY: Harris 11; Dallas 11; Fort Bend 9; Collin 7; Montgomery 4; Tarrant 4; Smith 4; Travis 3; Brazoria 2; Bexar 2; Galveston 1; Bell 1; Lavaca 1; Hays 1; Gregg 1; El Paso 1"
"Pennsylvania","United States","47","0","0","47","2020-03-15 03:00:00 * CTY: Montgomery 20; Delaware 6; Philadelphia 4; Bucks 3; Monroe 3; Cumberland 3; Chester 2; Allegheny 2; Washington 1; Pike 1; Northampton 1; Wayne 1"
"Virginia","United States","41","1","0","40","2020-03-15 03:00:00 * CTY: Fairfax 10; James City 8; Arlington 7; Loudoun 5; Virginia Beach City 3; Prince William 2; Harrisonburg 1; Hanover 1; Prince Edward 1; Alexandria City 1; Chesterfield 1; Spotsylvania 1"
"Oregon","United States","36","1","0","35","2020-03-15 03:00:00 * CTY: Washington 13; Linn 9; Deschutes 3; Marion 2; Umatilla 2; Jackson 2; Clackamas 1; Multnomah 1; Klamath 1; Douglas 1; Polk 1"
"Michigan","United States","33","0","0","33","2020-03-15 03:00:00 * CTY: Oakland 9; Wayne 8; Washtenaw 4; Kent 3; Macomb 2; Ingham 1; Montcalm 1; St. Clair 1; Charlevoix  1;  1; Monroe 1; Bay  1"
"Tennessee","United States","32","0","0","32","2020-03-15 03:00:00 * CTY: Davidson 14; Williamson 10; Shelby 2; Knox 1; Rutherford 1; Campbell 1; Jefferson 1; Sullivan 1; Hamilton 1"
"Maryland","United States","28","0","0","28","2020-03-15 03:00:00 * CTY: unknown 7; Prince George's 7; Montgomery 6; Baltimore 2; Harford 2; Anne Arundel 1; Charles 1; Baltimore City 1; Carroll 1"
"Ohio","United States","28","0","0","28","2020-03-15 03:00:00 * CTY: Cuyahoga 11; Butler 4; Stark 3; Summit 2; Trumbull 2; Belmont 2; Lucas  1; Franklin 1; Lorain 1; Tuscarawas 1"
"Wisconsin","United States","27","0","1","26","2020-03-15 03:00:00 * CTY: Fond du Lac 6; Dane 6; Milwaukee 6; Waukesha 3; Sheboygan 3; Racine 1; Winnebago 1; Pierce 1"
"North Carolina","United States","26","0","0","26","2020-03-15 03:00:00 * CTY: Wake 11; Johnston 2; Mecklenburg 2; Harnett 2; Forsyth 2; Cabarrus 1; Onslow 1; Chatham 1; Brunswick 1; Durham 1; Wayne 1; Craven 1"
"Utah","United States","24","0","0","24","2020-03-15 03:00:00 * CTY: Salt Lake 14; Non-Utah resident 5; Davis 2; Summit 2; Weber-Morgan 1"
"Connecticut","United States","23","0","0","23","2020-03-15 03:00:00 * CTY: Fairfield 15; New Haven 4; Litchfield 3; Hartford 1"
"Nevada","United States","21","0","0","21","2020-03-15 03:00:00 * CTY: Clark 16; Washoe 4; Ormsby 1"
"Minnesota","United States","21","0","0","21","2020-03-15 03:00:00 * CTY: Hennepin 6; Ramsey 5; Stearns 3; Dakota 2; Carver 1; Anoka 1; Olmsted 1; Renville 1; Wright 1"
"Rhode Island","United States","20","0","0","20","2020-03-15 03:00:00 * CTY: Providence 20"
"South Carolina","United States","19","0","0","19","2020-03-15 03:00:00 * CTY: Kershaw 11; Beaufort 3; Lancaster 2; Lexington 1; Spartanburg  1; Charleston 1"
"Iowa","United States","18","0","0","18","2020-03-15 03:00:00 * CTY: Johnson 14; Pottawattamie 1; Harrison 1; Carroll 1; Dallas 1"
"Kentucky","United States","18","0","0","18","2020-03-15 03:00:00 * CTY: Harrison 6; Fayette 5; Jefferson 4; Montgomery 2; Nelson 1"
"Nebraska","United States","17","0","0","17","2020-03-15 03:00:00 * CTY: Douglas 15; Cass 1; Knox 1"
"District of Columbia","United States","16","0","0","16","2020-03-15 03:00:00"
"Indiana","United States","16","0","0","16","2020-03-15 03:00:00 * CTY: Johnson 3; Marion 3; Hendricks 2; Hancock 1; Adams 1; St. Joseph 1; Noble 1; Howard 1; LaPorte 1; Wells 1; Boone 1"
"New Mexico","United States","13","0","0","13","2020-03-15 03:00:00 * CTY: Bernalillo 6; Santa Fe 3; Sandoval 2; Socorro 2"
"Arizona","United States","12","0","1","11","2020-03-15 03:00:00 * CTY: Pinal 5; Maricopa 4; Pima 2; Graham 1"
"Arkansas","United States","12","0","0","12","2020-03-15 03:00:00 * CTY:  9; Jefferson 3"
"Alabama","United States","12","0","0","12","2020-03-15 03:00:00 * CTY: Jefferson 5; Tuscaloosa 2; Baldwin 1; Limestone 1; Montgomery 1;  1; Elmore 1"
"South Dakota","United States","9","1","0","8","2020-03-15 03:00:00 * CTY: Minnehaha 3; Bon Homme 1; McCook 1; Beadle 1; Pennington 1; Charles Mix 1; Davidson 1"
"Kansas","United States","8","1","0","7","2020-03-15 03:00:00 * CTY: Johnson 5; Franklin 1; Butler 1; Wyandotte 1"
"New Hampshire","United States","7","0","0","7","2020-03-15 03:00:00 * CTY: Rockingham 4; Grafton 3"
"Montana","United States","7","0","0","7","2020-03-15 03:00:00 * CTY: Missoula 2; Gallatin 1; unknown 1; Silver Bow 1; Lewis and Clark 1; Yellowstone 1"
"Maine","United States","6","0","0","6","2020-03-15 03:00:00 * CTY:  4; Cumberland 1; Androscoggin 1"
"Delaware","United States","6","0","0","6","2020-03-15 03:00:00 * CTY: New Castle 6"
"Hawaii","United States","6","0","0","6","2020-03-15 03:00:00 * CTY: Honolulu 3; Kauai County 2; Maui County 1"
"Mississippi","United States","6","0","0","6","2020-03-15 03:00:00 * CTY: Forrest 3; Leflore 1; Pearl River 1; Copiah  1"
"Vermont","United States","5","0","0","5","2020-03-15 03:00:00 * CTY: Windsor 2; Chittenden 1; Bennington 1; Washington 1"
"Missouri","United States","5","0","0","5","2020-03-15 03:00:00 * CTY: St. Louis 2; Greene 2; Henry 1"
"Idaho","United States","5","0","0","5","2020-03-15 03:00:00 * CTY: Ada 2; unknown 1; Blaine  1; Teton 1"
"Oklahoma","United States","4","0","0","4","2020-03-15 03:00:00 * CTY: Tulsa 2; Jackson 1; Oklahoma 1"
"Wyoming","United States","3","0","0","3","2020-03-15 03:00:00 * CTY: Sheridan 1; Fremont 1; Sheridan County 1"
"North Dakota","United States","1","0","0","1","2020-03-15 03:00:00 * CTY: Ward 1"
"Alaska","United States","1","0","0","1","2020-03-15 03:00:00 * CTY: Anchorage 1"
