"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","2,296","50","8","2,238","2020-03-14 14:00:00"
"Washington","United States","568","37","1","530","2020-03-14 02:00:00 * CTY: King 328; Snohomish 122; Pierce 19; Island 3; Clark 3; Kittitas 3; Kitsap 3; Skagit 3; Yakima 2; Grant 1; Jefferson 1; Whatcom 1; Thurston 1; Grays Harbor 1; Columbia 1; unknown 65"
"New York","United States","421","0","0","421","2020-03-13 20:00:00 * CTY:Westchester 158; NYC 154; Nassau 41; Suffolk 28; Rockland 7; Ulster 4; Saratoga 3; Albany 4; Monroe 1; Orange 1; Delaware 1; Dutchess 1; Herkimer 1"
"California","United States","295","5","2","288","2020-03-14 02:00:00 * CTY: Santa Clara: 79; Los Angeles: 41; Contra Costa: 25; San Francisco: 23; San Mateo 20; Sacramento: 17; Orange 13; Riverside 12; Alameda 11; Santa Cruz 7; San Diego 8; Solano: 6; San Joaquin 6; Placer 4; Sonoma: 3; Marin 3; San Benito 2; Ventura: 2; Yolo 2; Calaveras 2; Stanislaus 2; Imperial 2; Humboldt: 1; Madera: 1; Fresno 1; Shasta: 1; Tulare 1"
"Massachusetts","United States","123","0","1","122","2020-03-14 02:00:00 * CTY: Middlesex 60; Norfolk 26; Suffolk 24; Berkshire 9; Essex 2; Worcester 2"
"Colorado","United States","77","1","0","76","2020-03-14 02:00:00 * CTY: Eagle 16; Denver 15; Pitkin 10; Arapahoe 7; Jefferson 7; Douglas 4; Gunnison 4; Adams 3; Summit 2; El Paso 2; Weld 2; Larimer 1; Pueblo 1; Routt 1"
"Florida","United States","51","3","0","48","2020-03-13 03:00:00 * CTY: Broward 12; Lee 4; Hillsborough 3; Volusia 3; Collier 3; Manatee 2; Alachua 2;Pinellas 2; Sarasota 2; Palm Beach 2; Santa Rosa 1; Charlotte 1; Okaloosa 1; Nassau 1; Pasco 1; Miami-Dade 1; St. Johns 1; Seminole 1; Duval 1; Clay 1; unknown 5; Orange 1"
"New Jersey","United States","50","1","0","49","2020-03-14 02:00:00 * CTY: Bergen 15; Monmouth 8; Middlesex 6; Hudson 3; Burlington 3; Essex 3; Morris 3; Camden 2; Passaic 2; Union 1; Somerset 1; Ocean 1; Mercer 1"
"Texas","United States","49","0","0","49","2020-03-14 14:00:00 * CTY: Harris 10; Fort Bend 9; Dallas 9; Collin 5; Tarrant 3; Montgomery 3; Travis 3; Smith 3; Gregg 1; Bexar 1; El Paso 1; Bell 1"
"Illinois","United States","46","0","2","44","2020-03-14 02:00:00 * CTY: Cook 40; Kane 2; McHenry 2; Lake 2"
"Georgia","United States","42","1","0","41","2020-03-14 02:00:00 * CTY: Cobb 8; Fulton 8; Dekalb 5; Bartow 4; Floyd 3; Fayette 3; Gwinnett 2; Gordon 2; Polk 1; Cherokee 1; Charlton 1; Lowndes 1; Lee 1; Camden 1; Coweta 1"
"Pennsylvania","United States","41","0","0","41","2020-03-14 02:00:00 * CTY: Montgomery 18; Delaware 6; Monroe 3; Philadelphia 3; Bucks 3; Cumberland 3; Wayne 1; Northampton 1; Pike 1; Chester 1; Washington 1"
"Louisiana","United States","36","0","0","36","2020-03-14 02:00:00 * Parish: Orleans 26; Jefferson 3; St. Tammany 2; Caddo 1; Lafourche 1; St. Bernard 1; St. Charles 1; Terrebonne 1"
"Oregon","United States","32","0","0","32","2020-03-14 02:30:00 * CTY: Washington 10; Linn 8; Deschutes 3; Jackson 2; Umatilla 2; Marion 2; Klamath 1; Douglas 1; Multnomah 1; Polk 1; Clackamas 1"
