"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","232","12","6","214","2020-03-06 03:00:00"
"Washington","United States","75","11","1","63","2020-03-05 20:00:00 * CTY: Snohomish 18; King 51; Grant 1; Five Florida residents"
"California","United States","49","1","2","46","2020-03-05 23:30:00"
"New York","United States","22","0","0","22","2020-03-05 19:00:00 * CTY: NYC 3; Westchester 18; Nassau 1"
"Illinois","United States","5","0","2","3","2020-03-05 19:00:00 * CTY: Chicago 3; Cook 2"
"Massachusetts","United States","4","0","0","4","2020-03-06 03:00:00 * CTY: Boston 1; Norfolk 1; Middlesex 1; Plymouth 1"
"Florida","United States","4","0","0","4","2020-03-05 17:00:00 * CTY: Sarasota 1; Hillsborough 2; Santa Rosa 1"
"Texas","United States","3","0","0","3","2020-03-05 21:45:00 * CTY: Fort Bend 1; Harris 2; 1 presumptive confirmed case"
"Oregon","United States","3","0","0","3","2020-03-02 18:30:00 * CTY: Washington 3"
"Maryland","United States","3","0","0","3","2020-03-05 23:30:00"
"Arizona","United States","2","0","1","1","2020-03-03 22:00:00 * CTY: Tempe 1; Maricopa 1"
"Rhode Island","United States","2","0","0","2","2020-03-02 22:00:00 * CTY: Providence 2"
"New Hampshire","United States","2","0","0","2","2020-03-04 03:00:00 * CNTY: Crafton 2"
"Georgia","United States","2","0","0","2","2020-03-03 03:00:00 * CTY: Fulton 2"
"New Jersey","United States","2","0","0","2","2020-03-05 21:45:00 * CTY: Bergen 2"
"Colorado","United States","2","0","0","2","2020-03-06 03:00:00 * CTY: Denver 1; Summit 1"
"Wisconsin","United States","1","0","0","1","2020-02-05 21:53:00 * CTY: Dane 1"
"North Carolina","United States","1","0","0","1","2020-03-03 21:00:00 * CTY: Wake 1"
"Tennessee","United States","1","0","0","1","2020-03-05 15:00:00 * CTY: Williamson 1"
"Nevada","United States","1","0","0","1","2020-03-05 17:00:00 * CTY: Clark 1; presumptively positive"
