"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","321","17","6","298","2020-03-07 03:00:00i"
"Washington","United States","86","14","1","71","2020-03-07 03:00:00 * CTY: Snohomish 19; King 59; Grant 1; Five Florida residents; Jefferson 1; Pierce 1"
"California","United States","66","1","2","63","2020-03-07 03:00:00 * CTY: Santa Clara 24; Los Angeles 13; San Diego 3; Orange 3; Placer 5; San Benito 2; San Mateo 2; San Francisco 3; Sacramento 2; Contra Costa 4; Humboldt 1; Berkeley 1; Sonoma 1; Yolo 1; Alameda 1"
"New York","United States","44","0","0","44","2020-03-07 01:00:00 * CTY: NYC 3; Westchester 37; Nassau 4"
"Texas","United States","9","0","0","9","2020-03-07 03:00:00 * CTY: Fort Bend 3; Harris 3; Houston 2; Montgomery 1 (possible case)"
"Massachusetts","United States","8","0","0","8","2020-03-06 20:00:00 * CTY: Boston 4; Norfolk 2; Middlesex 1; Plymouth 1"
"Colorado","United States","8","0","0","8","2020-03-07 01:00:00 * CTY: Denver 2; Summit 1; El Paso 1; Douglas 3; Eagle 1; all are presumptive positive"
"Florida","United States","7","2","0","5","2020-03-07 03:00:00 * CTY: Sarasota 1; Hillsborough 2; Santa Rosa 1; Broward 2; Lee 1"
"Illinois","United States","6","0","2","4","2020-03-07 03:00:00 * CTY: Chicago 4; Cook 2"
"New Jersey","United States","4","0","0","4","2020-03-07 01:00:00 * CTY: Bergen 3; Camden 1"
"Arizona","United States","3","0","1","2","2020-03-06 18:00:00 * CTY: Tempe 1; Maricopa 2 (1 presumptively positive)"
"Oregon","United States","3","0","0","3","2020-03-02 18:30:00 * CTY: Washington 3"
"Rhode Island","United States","3","0","0","3","2020-03-07 03:00:00 * CTY: Providence 3"
"Georgia","United States","3","0","0","3","2020-03-06 18:00:00 * CTY: Fulton 2; Floyd 1 (presumptively positive)"
"Maryland","United States","3","0","0","3","2020-03-07 01:00:00 * CTY: Montgomery 3"
"New Hampshire","United States","2","0","0","2","2020-03-04 03:00:00 * CNTY: Crafton 2"
"North Carolina","United States","2","0","0","2","2020-03-06 16:00:00 * CTY: Wake 1; Chatham 1"
"Nevada","United States","2","0","0","2","2020-03-06 20:00:00 * CTY: Clark 1 (presumptively positive); Washoe 1"
"Pennsylvania","United States","2","0","0","2","2020-03-06 16:00:00 * CTY: Delaware 1; Wayne 1"
"South Carolina","United States","2","0","0","2","2020-03-07 03:00:00 * CTY: Kershaw 1; Charleston 1"
"Wisconsin","United States","1","0","0","1","2020-02-05 21:53:00 * CTY: Dane 1"
"Tennessee","United States","1","0","0","1","2020-03-05 15:00:00 * CTY: Williamson 1"
"Indiana","United States","1","0","0","1","2020-03-06 16:40:00 * CTY: Marion 1"
"Minnesota","United States","1","0","0","1","2020-03-07 01:00:00 * CTY: Ramsey 1"
"Kentucky","United States","1","0","0","1","2020-03-07 01:00:00 * CTY: Fayette 1"
"Oklahoma","United States","1","0","0","1","2020-03-07 01:00:00 * CTY: Tulsa 1"
"Connecticut","United States","1","0","0","1","2020-03-07 01:00:00 * CTY: Fairfield 1"
"Hawaii","United States","1","0","0","1","2020-03-07 03:00:00"
"Utah","United States","1","0","0","1","2020-03-07 03:00:00i * CTY: Davis 1"
"Nebraska","United States","1","0","0","1","2020-03-07 03:00:00i * CTY: Douglas 1"
