"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"Mainland China","Mainland China","80,754","3,136","59,888","17,730","2020-03-10 02:00:00"
"Hubei","Mainland China","67,760","3,024","47,585","17,151","2020-03-10 02:00:00"
"Italy","Italy","9,172","463","724","7,985","2020-03-09 20:00:00"
"South Korea","South Korea","7,513","54","247","7,212","2020-03-10 02:00:00"
"Iran","Iran","7,161","237","2,394","4,530","2020-03-09 11:30:00"
"France","France","1,412","30","12","1,370","2020-03-10 02:00:00"
"Guangdong","Mainland China","1,353","8","1,270","75","2020-03-10 02:00:00"
"Henan","Mainland China","1,272","22","1,247","3","2020-03-09 01:00:00"
"Spain","Spain","1,231","30","32","1,169","2020-03-10 02:00:00"
"Germany","Germany","1,224","2","16","1,206","2020-03-09 16:00:00"
"Zhejiang","Mainland China","1,215","1","1,190","24","2020-03-10 02:00:00"
"Hunan","Mainland China","1,018","4","988","26","2020-03-10 02:00:00"
"Anhui","Mainland China","990","6","984","0","2020-03-09 01:00:00"
"Jiangxi","Mainland China","935","1","923","11","2020-03-10 02:00:00"
"Shandong","Mainland China","758","6","703","49","2020-03-10 02:00:00"
"United States","United States","758","26","8","724","2020-03-10 03:45:00"
"Others","Japan (Diamond Princess)","706","6","10","690","2020-03-03 03:00:00"
"Jiangsu","Mainland China","631","0","622","9","2020-03-10 02:00:00"
"Chongqing","Mainland China","576","6","542","28","2020-03-10 02:00:00"
"Sichuan","Mainland China","539","3","465","71","2020-03-09 01:00:00"
"Japan","Japan","520","9","101","410","2020-03-09 20:00:00"
"Heilongjiang","Mainland China","481","13","434","34","2020-03-10 02:00:00"
"Beijing","Mainland China","429","8","320","101","2020-03-10 02:00:00"
"Switzerland","Switzerland","374","2","3","369","2020-03-09 13:30:00"
"Shanghai","Mainland China","342","3","315","24","2020-03-10 02:00:00"
"Netherlands","Netherlands","321","3","1","317","2020-03-09 20:00:00"
"United Kingdom","United Kingdom","319","5","18","296","2020-03-10 02:00:00"
"Hebei","Mainland China","318","6","307","5","2020-03-10 02:00:00"
"Fujian","Mainland China","296","1","295","0","2020-03-09 01:00:00"
"Sweden","Sweden","261","0","1","260","2020-03-10 02:00:00"
"Guangxi","Mainland China","252","2","234","16","2020-03-10 02:00:00"
"Shaanxi","Mainland China","245","1","227","17","2020-03-10 02:00:00"
"Belgium","Belgium","239","0","1","238","2020-03-09 14:00:00"
"Norway","Norway","227","0","0","227","2020-03-10 02:00:00"
"Yunnan","Mainland China","174","2","170","2","2020-03-09 01:00:00"
"Hainan","Mainland China","168","6","159","3","2020-03-09 01:00:00"
"Washington","United States","167","22","1","144","2020-03-10 02:00:00 * CTY: Snohomish 37; King 116; Grant 1; Jefferson 1; Pierce 4; Clark 1; Unassigned 5; Kittitas 1; Kitsap 1"
"Singapore","Singapore","160","0","93","67","2020-03-10 02:00:00"
"Guizhou","Mainland China","146","2","129","15","2020-03-10 02:00:00"
"New York","United States","143","0","0","143","2020-03-10 02:00:00 * CTY: NYC 20; Westchester 98; Nassau 17; Rockland 4; Saratoga 2; Ulster 1; Suffolk 1"
"California","United States","143","2","2","139","2020-03-10 03:45:00 * CTY: Santa Clara: 47; Los Angeles: 19; San Francisco: 14; Contra Costa: 9; Placer: 7; Orange: 5; San Diego: 3; Solano: 3; Alameda: 3; Sonoma: 3; San Benito: 2; Napa: 1; Humboldt: 1; Sacramento: 10; San Mateo: 8; Yolo: 1; Ventura: 1; Madera: 1; Santa Cruz: 2; Fresno: 1; Riverside: 4; Shasta: 1; Marin 1"
"Tianjin","Mainland China","136","3","130","3","2020-03-10 02:00:00"
"Shanxi","Mainland China","133","0","127","6","2020-03-10 02:00:00"
"Austria","Austria","131","0","2","129","2020-03-10 02:00:00"
"Liaoning","Mainland China","125","1","110","14","2020-03-10 02:00:00"
"Gansu","Mainland China","124","2","88","34","2020-03-10 02:00:00"
"Malaysia","Malaysia","117","0","24","93","2020-03-09 11:00:00"
"Hong Kong","Hong Kong","115","3","60","52","2020-03-10 02:00:00"
"Bahrain","Bahrain","109","0","14","95","2020-03-09 15:00:00"
"Australia","Australia","101","3","22","76","2020-03-10 02:00:00"
"Jilin","Mainland China","93","1","91","1","2020-03-10 02:00:00"
"Denmark","Denmark","90","0","1","89","2020-03-09 20:00:00"
"Xinjiang Uygur","Mainland China","76","3","73","0","2020-03-09 01:00:00"
"Nei Mongol","Mainland China","75","1","70","4","2020-03-10 02:00:00"
"Ningxia","Mainland China","75","0","71","4","2020-03-09 01:00:00"
"Greece","Greece","73","0","0","73","2020-03-08 20:00:00"
"Iraq","Iraq","71","7","9","55","2020-03-10 02:00:00"
"Canada","Canada","70","1","8","61","2020-03-10 02:00:00 * Ontario 31; British Columbia 28; Quebec 4; Alberta 7"
"Kuwait","Kuwait","65","0","1","64","2020-03-10 02:00:00"
"Iceland","Iceland","65","0","1","64","2020-03-10 02:00:00"
"Egypt","Egypt","59","1","12","46","2020-03-10 02:00:00"
"United Arab Emirates","United Arab Emirates","59","0","7","52","2020-03-10 02:00:00"
"San Marino","San Marino","51","2","0","49","2020-03-10 02:00:00"
"Thailand","Thailand","50","1","31","18","2020-03-07 15:00:00"
"Israel","Esrael","50","0","4","46","2020-03-10 02:00:00"
"India","India","47","0","4","43","2020-03-10 02:00:00"
"Diamond Princess","United States","46","0","0","46","2020-03-02 17:00:00"
"Taiwan","Taiwan","45","1","15","29","2020-03-09 01:00:00"
"Lebanon","Lebanon","41","0","1","40","2020-03-10 02:00:00"
"Massachusetts","United States","41","0","1","40","2020-03-10 02:00:00 * CTY: Suffolk 10; Norfolk 10; Middlesex 15; Berkshire 5; Worcester 1"
"Czech Republic","Czech Republic","38","0","0","38","2020-03-10 02:00:00"
"Finland","Finland","33","0","1","32","2020-03-10 02:00:00"
"Portugal","Portugal","30","0","0","30","2020-03-08 20:00:00"
"Vietnam","Vietnam","30","0","16","14","2020-03-08 20:00:00"
"Slovenia","Slovenia","25","0","0","25","2020-03-10 02:00:00"
"Palestine","Palestine","25","0","0","25","2020-03-10 02:00:00"
"Brazil","Brazil","25","0","0","25","2020-03-09 11:00:00"
"Ireland","Ireland","24","0","0","24","2020-03-10 02:00:00"
"Philippines","Philippines","24","1","2","21","2020-03-10 02:00:00"
"Grand Princess","United States","21","0","0","21","2020-03-07 01:00:00"
"Saudi Arabia","Saudi Arabia","20","0","1","19","2020-03-10 02:00:00"
"Russia","Russia","20","0","3","17","2020-03-10 02:00:00"
"Algeria","Algeria","20","0","0","20","2020-03-09 11:00:00"
"Indonesia","Indonesia","19","0","0","19","2020-03-10 02:00:00"
"Qinghai","Mainland China","18","0","18","0","2020-03-07 01:00:00"
"Qatar","Qatar","18","0","0","18","2020-03-10 02:00:00"
"Oman","Oman","18","0","2","16","2020-03-10 02:00:00"
"Poland","Poland","17","0","0","17","2020-03-10 02:00:00"
"Romania","Romania","17","0","0","17","2020-03-10 02:00:00"
"Argentina","Argentina","17","1","0","16","2020-03-10 02:00:00"
"Georgia","United States","17","0","0","17","2020-03-10 03:45:00 * CTY: Fulton 5; Floyd 1; Cobb 4; Gwinnett 2; Cherokee 1; DeKalb 2; Polk 1; Fayette 1"
"Pakistan","Pakistan","16","0","0","16","2020-03-10 02:00:00"
"Georgia (country)","Georgia","15","0","0","15","2020-03-10 02:00:00"
"Ecuador","Ecuador","14","0","0","14","2020-03-08 13:00:00"
"Oregon","United States","14","0","0","14","2020-03-08 21:00:00 * CTY: Washington 8; Jackson 2; Klamath 1; Umatilla 1; Douglas 1; Marion 1"
"Florida","United States","14","2","0","12","2020-03-10 02:00:00 * CTY: Sarasota 1; Hillsborough 2; Santa Rosa 1; Broward 3; Lee 2; Charlotte 1; Okaloosa 1; Volusia 1; Manatee 2"
"Croatia","Croatia","13","0","0","13","2020-03-10 02:00:00"
"Chile","Chile","13","0","0","13","2020-03-09 18:30:00 * Metropolitana 7; Maule 4; Biobio 1; Los Lagos 1"
"Texas","United States","13","0","0","13","2020-03-10 03:45:00 * CTY: Fort Bend 6; Harris 4; Houston 2; Collin 1"
"Colorado","United States","12","0","0","12","2020-03-10 02:00:00 * CTY: Denver 3; Summit 1; El Paso 1; Douglas 3; Eagle 2; Larimer 1; Arapahoe"
"Illinois","United States","11","0","2","9","2020-03-10 02:00:00 * CTY: Cook 11"
"New Jersey","United States","11","0","0","11","2020-03-09 19:00:00 * CTY: Bergen 4; Camden 1; Hudson 1; Unknown 5"
"Macau","Macau","10","0","10","0","2020-03-07 01:00:00"
"Estonia","Estonia","10","0","0","10","2020-03-06 14:00:00"
"Pennsylvania","United States","10","0","0","10","2020-03-10 02:00:00 * CTY: Delaware 1; Wayne 1; Montgomery 7; Monroe 1"
"Azerbaijan","Azerbaijan","9","0","0","9","2020-03-07 15:00:00"
"Hungary","Hungary","9","0","0","9","2020-03-10 02:00:00"
"Peru","Peru","9","0","0","9","2020-03-09 18:30:00"
"Iowa","United States","8","0","0","8","2020-03-10 02:00:00 * CTY Johnson 7; Pottawattamie 1"
"Mexico","Mexico","7","0","0","7","2020-03-08 20:30:00"
"Slovakia","Slovakia","7","0","0","7","2020-03-10 02:00:00"
"South Africa","South Africa","7","0","0","7","2020-03-10 02:00:00"
"North Carolina","United States","7","0","0","7","2020-03-10 02:00:00 * CTY: Wake 6; Chatham 1"
"South Carolina","United States","7","0","0","7","2020-03-10 02:00:00 * CTY: Kershaw 1; Charleston 1; Camden 4; Spartanburg 1"
"Virginia","United States","7","0","0","7","2020-03-10 03:45:00 * CTY: Fairfax 3; Arlington 1; Norfolk 2; Spotsylvania 1"
"Belarus","Belarus","6","0","0","6","2020-03-04 09:00:00"
"Maldives","Maldives","6","0","0","6","2020-03-10 02:00:00"
"Latvia","Latvia","6","0","0","6","2020-03-10 02:00:00"
"Arizona","United States","6","0","1","5","2020-03-07 18:30:00 * CTY: Pima 1; Maricopa 2 ; Pinal 3"
"Maryland","United States","6","0","0","6","2020-03-10 02:00:00 * CTY: Montgomery 4; Harford 1; Prince George 1"
"Kentucky","United States","6","0","0","6","2020-03-10 02:00:00 * CTY: Fayette 3; Harrison 2; Jefferson 1"
"New Zealand","New Zealand","5","0","0","5","2020-03-07 15:00:00"
"Dominican Republic","Dominican Republic","5","0","0","5","2020-03-08 20:30:00"
"Costa Rica","Costa Rica","5","0","0","5","2020-03-08 13:00:00"
"Tunisia","Tunisia","5","0","0","5","2020-03-10 02:00:00"
"Luxembourg","Luxembourg","5","0","0","5","2020-03-10 02:00:00"
"French Guiana","French Guiana","5","0","0","5","2020-03-07 04:00:00"
"Indiana","United States","5","0","0","5","2020-03-10 03:45:00 * CTY: Marion 1; Hendricks 2; Nobel 1; Adams 1"
"District of Columbia","United States","5","0","0","5","2020-03-10 03:45:00"
"Bulgaria","Bulgaria","4","0","0","4","2020-03-08 13:00:00"
"Senegal","Senegal","4","0","0","4","2020-03-04 20:00:00"
"Afghanistan","Afghanistan","4","0","0","4","2020-03-10 02:00:00"
"North Macedonia","North Macedonia","4","0","0","4","2020-03-10 02:00:00"
"New Hampshire","United States","4","0","0","4","2020-03-07 12:00:00 * CNTY: Grafton 3; Rockingham 1"
"Nevada","United States","4","0","0","4","2020-03-08 22:30:00 * CTY: Clark 2; Washoe 2"
"Tennessee","United States","4","0","0","4","2020-03-08 23:30:00 * CTY: Williamson 1; Shelby 1; Davidson 1; Unknown 1"
"Bosnia and Herzegovina","Bosnia and Herzegovina","3","0","0","3","2020-03-08 13:00:00"
"Bangladesh","Bangladesh","3","0","0","3","2020-03-08 13:00:00"
"Malta","Malta","3","0","0","3","2020-03-07 20:00:00"
"Wuhan Evacuee","United States","3","0","0","3","2020-03-02 17:00:00"
"Rhode Island","United States","3","0","0","3","2020-03-07 03:00:00 * CTY: Providence 3"
"Nebraska","United States","3","0","0","3","2020-03-09 01:00:00 * CTY: Douglas 3"
"Ohio","United States","3","0","0","3","2020-03-09 19:00:00"
"Morocco","Morocco","2","0","0","2","2020-03-06 14:00:00"
"Cameroon","Cameroon","2","0","0","2","2020-03-08 13:00:00"
"Nigeria","Nigeria","2","0","0","2","2020-03-10 02:00:00"
"Albania","Albania","2","0","0","2","2020-03-09 01:00:00"
"Cyprus","Cyprus","2","0","0","2","2020-03-09 20:00:00"
"Burkina Faso","Burkina Faso","2","0","0","2","2020-03-10 01:00:00"
"Martinique","Martinique","2","0","0","2","2020-03-07 04:00:00"
"Minnesota","United States","2","0","0","2","2020-03-09 01:00:00 * CTY: Ramsey 1; Carver 1"
"Hawaii","United States","2","0","0","2","2020-03-09 11:30:00"
"Connecticut","United States","2","0","0","2","2020-03-10 02:00:00 * CTY: Wilton 1; unknown 1"
"Wisconsin","United States","2","0","1","1","2020-02-05 21:53:00 * CTY: Dane 1; Pierce 1"
"Xizang","Mainland China","1","0","1","0","2020-02-12 07:00:00"
"Cambodia","Cambodia","1","0","1","0","2020-02-12 07:43:02"
"Nepal","Nepal","1","0","1","0","2020-02-12 14:43:03"
"Sri Lanka","Sri Lanka","1","0","1","0","2020-02-08 03:43:03"
"Lithuania","Lithuania","1","0","0","1","2020-02-28 11:00:00"
"Monaco","Monaco","1","0","0","1","2020-02-28 23:30:00"
"Armenia","Armenia","1","0","0","1","2020-03-01 19:00:00"
"Andorra","Andorra","1","0","0","1","2020-03-02 12:00:00"
"Jordan","Jordan","1","0","0","1","2020-03-02 13:22:00"
"Ukraine","Ukraine","1","0","0","1","2020-03-03 10:00:00"
"Liechtenstein","Liechtenstein","1","0","0","1","2020-03-03 22:00:00"
"Serbia","Serbia","1","0","0","1","2020-03-06 11:00:00"
"Bhutan","Bhutan","1","0","0","1","2020-03-06 11:00:00"
"Togo","Togo","1","0","0","1","2020-03-06 16:30:00"
"Vatican City","Vatican City","1","0","0","1","2020-03-06 16:30:00"
"Colombia","Colombia","1","0","0","1","2020-03-06 22:00:00"
"Paraguay","Paraguay","1","0","0","1","2020-03-07 23:00:00"
"Moldova","Moldova","1","0","0","1","2020-03-07 23:00:00"
"Brunei","Brunei","1","0","0","1","2020-03-09 20:00:00"
"Panama","Panama","1","0","0","1","2020-03-10 02:00:00"
"Mongolia","Mongolia","1","0","0","1","2020-03-10 02:00:00"
"Oklahoma","United States","1","0","0","1","2020-03-07 01:00:00 * CTY: Tulsa 1"
"Utah","United States","1","0","0","1","2020-03-07 03:00:00 * CTY: Davis 1"
"Kansas","United States","1","0","0","1","2020-03-08 01:00:00 * CTY: Johnson 1"
"Missouri","United States","1","0","0","1","2020-03-08 02:30:00 * CTY: St. Louis 1"
"Vermon","United States","1","0","0","1","2020-03-08 13:00:00 * CTY Bennington 1 (presumptive positive)"
"Louisiana","United States","1","0","0","1","2020-03-09 18:30:00 * Parish: Jefferson 1"
