"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","33,974","431","178","33,365","2020-03-23 00:00:00"
"New York","United States","15,806","117","0","15,689","2020-03-23 00:00:00 * CTY: New York 9654; Nassau 1900; Westchester 1873; Suffolk 1034; Rockland 455; Orange 247; Albany 123; Dutchess 82; Monroe 68; Erie 56; Onondaga 45; Saratoga 35; Schenectady 32; Putnam 31; unknown 23; Rensselaer 20; Ulster 18; Columbia 17; Tompkins 15; Sullivan 12; Niagara 9; Oneida 4; Ontario 4; Clinton 4; Steuben 4; Wayne 3; Essex 3; Herkimer 3; Broome 3; Montgomery 3; Chemung 2; Oswego 2; Hamilton 2; Livingston 2; Cortland 2; Greene 2; Chenango 2; Wyoming 2; Allegany 2; Jefferson 1; Schoharie 1; Warren 1; Genesee 1; Delaware 1; Fulton 1; Washington 1; Tioga 1"
"Washington","United States","1,996","95","0","1,901","2020-03-23 00:00:00 * CTY: King 1040; Snohomish 480; unknown 164; Pierce 107; Skagit 33; Island 21; Spokane 20; Kitsap 18; Grant 18; Yakima 16; Whatcom 14; Thurston 11; Clark 10; Benton 7; Jefferson 6; Clallam 4; Klickitat 4; Kittitas 4; Chelan 3; Franklin 3; Cowlitz 3; Lewis 2; Whitman 1; San Juan 1; Mason 1; Walla Walla  1; Stevens 1; Columbia 1; Lincoln 1; Grays Harbor 1"
"New Jersey","United States","1,914","20","0","1,894","2020-03-23 00:00:00 * CTY: Bergen 457; unknown 221; Essex 172; Monmouth 158; Middlesex 147; Hudson 126; Union 124; Morris 119; Ocean 102; Passaic 95; Somerset 51; Mercer 40; Burlington 26; Camden 22; Hunterdon 16; Sussex 12; Warren 9; Gloucester 8; Atlantic 5; Cape May 2; Salem 1; Cumberland 1"
"California","United States","1,781","34","0","1,747","2020-03-23 00:00:00 * CTY: Los Angeles 407; Santa Clara 302; San Diego 201; San Mateo 117; San Francisco 108; Alameda 106; Orange 95; Contra Costa 61; Sacramento 53; San Joaquin 41; Marin 38; Ventura 30; Riverside 29; San Luis Obispo 27; Sonoma 22; San Bernardino 17; Santa Cruz 15; Solano 13; Santa Barbara 13; Placer 12; Tulare 12; Monterey 11; Imperial 6; Yolo 6; Fresno 6; Kern 5; San Benito 5; Stanislaus 5; Madera 3; Humboldt 2; Siskiyou 2; Calaveras 2; Yuba 2; Shasta 1; Nevada 1; Amador 1; Mendocino 1; Mono 1; Napa 1; Butte 1"
"Illinois","United States","1,049","9","0","1,040","2020-03-23 00:00:00 * CTY: Cook 805; DuPage 79; Lake 69; Will 21; Kane 13; McHenry 12; McLean 6; Sangamon 4; Winnebago 4; Kendall 4; Clinton 3; St. Clair 3; Peoria 3; unknown 2; Champaign 2; Kankakee 2; Woodford 2; Madison 2; Cumberland 1; Whiteside 1; DeKalb 1; Livingston 1; Christian 1; Williamson 1; Rock Island 1; Adams 1; Jackson 1; LaSalle 1; Jo Daviess 1; Stephenson 1; Washington 1"
"Michigan","United States","1,037","9","0","1,028","2020-03-23 00:00:00 * CTY: Wayne 477; Oakland 277; Macomb 140; Washtenaw 35; Kent 22; Genesee 14; Ingham 11; Livingston 8; St. Clair 7; Ottawa 6; Monroe 6; Midland 5; Berrien 3; Eaton 2; Charlevoix 2; Saginaw 2; Calhoun 2; Clinton 2; Out of State 2; Bay 1; Allegan 1; Gladwin 1; Otsego 1; Jackson 1; Leelanau 1; Barry 1; Montcalm 1; Clare 1; Grand Traverse 1; Wexford 1; Tuscola 1; Emmet 1; Roscommon 1"
"Florida","United States","1,007","13","0","994","2020-03-23 00:00:00 * CTY: Miami-Dade 227; Broward 217; Palm Beach 72; Hillsborough 58; Duval 39; Pinellas 38; Alachua 35; Collier 33; Orange 33; Lee 26; Osceola 24; Seminole 19; Sarasota 17; St. Johns 16; Okaloosa 14; Volusia 14; Manatee 13; Pasco 11; Polk 11; Indian River 8; Citrus 8; Clay 7; Brevard 7; Lake 6; Leon 5; Sumter 5; Hernando 5; Escambia 4; Walton 4; Santa Rosa 4; St. Lucie 3; Marion 3; Columbia 2; Putnam 2; Charlotte 2; Baker 2; Martin 2; Nassau 2; Bay 1; Gadsden 1; Bradford 1; Flagler 1; Monroe 1; Highlands 1; Desoto 1; Jackson 1; unknown 1"
"Louisiana","United States","837","20","0","817","2020-03-23 00:00:00 * CTY: Orleans 451; Jefferson 166; unknown 50; St. Tammany 22; East Baton Rouge 18; Caddo 15; Ascension 12; St. Bernard 12; Terrebonne 11; Lafourche 11; St. John the Baptist 9; St. Charles 7; Lafayette 6; Bossier 5; Plaquemines 4; Calcasieu 4; West Baton Rouge 3; Tangipahoa 3; St. Landry 3; Iberville 2; Washington 2; Livingston 2; Ouachita 2; Iberia 2; Evangeline 2; De Soto 2; Rapides 2; St. Mary 1; Claiborne 1; Webster 1; Bienville 1; Catahoula 1; St. James 1; Beauregard 1; Avoyelles 1; Assumption 1; Acadia 0"
"Texas","United States","662","8","0","654","2020-03-23 00:00:00 * CTY: Dallas 131; Travis 79; Harris 74; Tarrant 47; Bexar 46; Collin 38; Denton 30; Fort Bend 29; McLennan 16; Brazoria 14; Montgomery 13; Brazos 12; Galveston 11; Smith 10; Bell 10; Lubbock 9; Williamson 9; El Paso 7; Hays 7; Cameron 6; Wichita 5; Webb 4; Hockley 3; Matagorda 3; Jefferson 3; Ellis 3; Hidalgo 2; Johnson 2; Brown 2; Comal 2; Grimes 2; Atascosa 2; Castro 2; Randall 2; Hardin 2; Guadalupe 1; Gregg 1; Van Zandt 1; Nueces 1; Midland 1; Liberty 1; Lamar 1; Upshur 1; Rusk 1; Oldham 1; Medina 1; Maverick 1; Fayette 1; Kendall 1; Lavaca 1; Wharton 1; Bowie 1; DeWitt 1; Deaf Smith 1; Milam 1; Crane 1; Walker 1; Chambers 1; Fannin 1; Burnet 1"
"Massachusetts","United States","646","5","0","641","2020-03-23 00:00:00 * CTY: Middlesex 199; Suffolk 126; Norfolk 75; Essex 60; Worcester 37; Plymouth 25; Bristol 24; Barnstable 24; unknown 24; Berkshire 23; Hampden 12; Franklin 6; Brockton 6; Hampshire 4; Dukes and Nantucket 1"
"Georgia","United States","621","25","0","596","2020-03-23 00:00:00 * CTY: Fulton 111; Cobb 67; Bartow 56; DeKalb 53; Dougherty 52; Gwinnett 27; unknown 27; Cherokee 18; Carroll 16; Lee 16; Clayton 13; Richmond 10; Clarke 10; Floyd 9; Hall 9; Fayette 9; Coweta 9; Lowndes 8; Henry 7; Forsyth 5; Chatham 4; Gordon 4; Troup 4; Paulding 4; Newton 4; Polk 4; Glynn 4; Douglas 4; Columbia 3; Peach 3; Lamar 3; Muscogee 2; Barrow 2; Sumter 2; Terrell 2; Early 2; Laurens 2; Baldwin 2; Oconee 2; Whitfield 2; Butts 2; Effingham 2; Pickens 2; Worth 2; Spalding 2; Tift 2; Rockdale 2; Houston 1; Turner 1; Dawson 1; Charlton 1; Monroe 1; Miller 1; Chattooga 1; Lumpkin 1; Heard 1; Bibb 1; Coffee 1; Randolph 1; Clinch 1; Lincoln 1; Twiggs 1; Tattnall 1"
