"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","26,895","346","176","26,373","2020-03-22 03:00:00"
"New York","United States","12,322","76","0","12,246","2020-03-22 03:00:00 * CTY: New York 8115; Westchester 1387; Nassau 1234; Suffolk 662; Rockland 262; Orange 163; Albany 88; Erie 56; Dutchess 49; Monroe 46; Saratoga 35; Onondaga 34; Schenectady 32; Putnam 31; Rensselaer 20; Ulster 18; Tompkins 12; Sullivan 12; Niagara 9; Columbia 7; Clinton 4; Oneida 4; Ontario 4; Herkimer 3; Broome 3; Montgomery 3; Wayne 3; Greene 2; Wyoming 2; Livingston 2; Cortland 2; Allegany 2; Essex  2; Hamilton 2; Chenango 2; Steuben 2; Fulton 1; Warren 1; Schoharie 1; Jefferson 1; Genesee  1; Washington 1; Delaware 1; Tioga 1"
"Washington","United States","1,793","94","0","1,699","2020-03-22 03:00:00 * CTY: King 934; Snohomish 447; unknown 146; Pierce 95; Skagit 28; Island 19; Spokane 16; Kitsap 15; Whatcom 14; Yakima 13; Grant 11; Clark 9; Thurston 9; Benton 7; Jefferson 4; Klickitat 4; Kittitas 4; Chelan 3; Lewis 2; Franklin 2; Cowlitz 2; Clallam 2; Lincoln 1; Columbia 1; Stevens 1; Mason 1; Grays Harbor 1; San Juan 1; Walla Walla  1"
"California","United States","1,518","28","0","1,490","2020-03-22 03:00:00 * CTY: Los Angeles 351; Santa Clara 263; San Diego 155; San Mateo 110; San Francisco 84; Orange 78; Alameda 71; Sacramento 53; Contra Costa 51; Marin 38; San Joaquin 31; Riverside 30; Ventura 25; Sonoma 22; San Luis Obispo 21; Santa Cruz 15; Solano 13; Santa Barbara 13; Placer 12; Tulare 12; Monterey 11; San Bernardino 10; Fresno 6; Yolo 6; Imperial 6; Stanislaus 5; San Benito 5; Kern 5; Madera 3; Siskiyou 2; Humboldt 2; Calaveras 2; Yuba 2; Nevada 1; Shasta 1; Amador 1; Mono 1; Mendocino 1"
"New Jersey","United States","1,327","16","0","1,311","2020-03-22 03:00:00 * CTY: Bergen 363; unknown 140; Middlesex 116; Essex 107; Hudson 97; Monmouth 92; Union 81; Passaic 67; Morris 64; Ocean 62; Somerset 34; Mercer 30; Burlington 21; Camden 15; Hunterdon 14; Gloucester 6; Sussex 6; Warren 5; Atlantic 4; Cape May 2; Cumberland 1"
"Michigan","United States","809","8","0","801","2020-03-22 03:00:00 * CTY: Detroit City 248; Oakland 229; Macomb 121; Wayne 101; Washtenaw 29; Kent 21; Ingham 11; Genesee 7; St. Clair 7; Livingston 6; Midland 3; Monroe 3; Clinton 2; Berrien 2; Ottawa 2; Eaton 2; Clare 1; Montcalm 1; Leelanau 1; Charlevoix 1; Gladwin 1; Allegan 1; Saginaw 1; Bay 1; Calhoun 1; Tuscola 1; Wexford 1; Otsego 1; Out of State 1; Jackson 1; Barry 1"
"Florida","United States","763","13","0","750","2020-03-22 03:00:00 * CTY: Miami-Dade 169; Broward 164; Palm Beach 56; Hillsborough 47; Pinellas 29; Orange 29; Collier 28; Duval 25; Alachua 25; Osceola 21; Lee 17; Sarasota 14; Manatee 13; Seminole 12; Okaloosa 12; Volusia 11; Polk 10; St. Johns 9; Pasco 8; Citrus 8; Clay 6; Hernando 6; Indian River 5; Brevard 5; Walton 4; Leon 4; Lake 4; Sumter 4; Santa Rosa 3; Charlotte 2; Marion 2; St. Lucie 1; Putnam 1; Escambia 1; Gadsden 1; Bay 1; Jackson 1; Baker 1; unknown 1; Monroe 1; Martin 1; Nassau 1"
"Louisiana","United States","763","20","0","743","2020-03-22 03:00:00 * CTY: Orleans 418; Jefferson 166; St. Tammany 22; East Baton Rouge 18; Caddo 15; St. Bernard 12; Ascension 12; Lafourche 11; Terrebonne 11; unknown 9; St. John the Baptist 9; St. Charles 7; Lafayette 6; Bossier 5; Plaquemines 4; Calcasieu 4; St. Landry 3; West Baton Rouge 3; Tangipahoa 3; Iberville 2; Rapides 2; Iberia 2; De Soto 2; Evangeline 2; Washington 2; Livingston 2; Ouachita 2; Claiborne 1; Beauregard 1; Catahoula 1; Webster 1; Assumption 1; Avoyelles 1; St. James 1; St. Mary 1; Bienville 1; Acadia 0"
"Illinois","United States","753","6","0","747","2020-03-22 03:00:00 * CTY: Cook 548; DuPage 65; Lake 63; Will 12; McHenry 11; Kane 8; McLean 6; Sangamon 4; Winnebago 4; Peoria 3; Champaign 3; Clinton 3; St. Clair  3; unknown 3; Madison 2; Woodford 2; Kendall 2; Kankakee 2; Whiteside 1; Washington 1; LaSalle 1; Jackson 1; Christian 1; Cumberland 1; DeKalb 1; Williamson 1; Adams 1"
"Texas","United States","557","5","0","552","2020-03-22 03:00:00 * CTY: Dallas 95; Harris 68; Travis 62; Tarrant 42; Bexar 39; Collin 31; Fort Bend 29; Denton 24; McLennan 16; Brazoria 14; Montgomery 13; Brazos 10; Smith 10; Lubbock 9; Williamson 9; Bell 8; Galveston 8; El Paso 7; Cameron 6; Hays 6; Wichita 4; Hockley 3; Matagorda 3; Ellis 3; Randall 2; Grimes 2; Johnson 2; Castro 2; Comal 2; Brown 2; Jefferson 2; Lamar 1; Milam 1; Hidalgo 1; DeWitt 1; Bowie 1; Lavaca 1; Fayette 1; Oldham 1; Upshur 1; Webb 1; Gregg 1; Fannin 1; Van Zandt 1; Nueces 1; Midland 1; Liberty 1; Rusk 1; Medina 1; Kendall 1; Deaf Smith 1; Chambers 1; Guadalupe 1; Wharton 1; Crane 1"
"Georgia","United States","555","20","0","535","2020-03-22 03:00:00 * CTY: Fulton 99; Bartow 56; Cobb 50; Dougherty 47; DeKalb 41; unknown 36; Gwinnett 23; Cherokee 17; Lee 14; Carroll 14; Clayton 13; Richmond 10; Hall 9; Fayette 9; Clarke 9; Coweta 8; Floyd 8; Lowndes 7; Henry 7; Troup 4; Chatham 4; Douglas 4; Gordon 4; Newton 4; Forsyth 4; Paulding 4; Polk 4; Columbia 3; Spalding 2; Pickens 2; Laurens 2; Worth 2; Terrell 2; Houston 2; Sumter 2; Baldwin 2; Peach 2; Glynn 2; Muscogee 2; Rockdale 2; Early 2; Tift 2; Lamar 1; Barrow 1; Miller 1; Monroe 1; Dawson 1; Bibb 1; Randolph 1; Oconee 1; Whitfield 1; Charlton 1; Effingham 1; Lumpkin 1; Heard 1; Turner 1; Lincoln 1"
"Massachusetts","United States","529","2","0","527","2020-03-22 03:00:00 * CTY: Middlesex 177; Suffolk 108; Norfolk 69; Essex 41; Worcester 24; Berkshire 21; unknown 20; Plymouth 20; Bristol 14; Barnstable 11; Hampden 9; Franklin 6; Brockton 6; Hampshire 2; Dukes and Nantucket 1"
"Colorado","United States","476","6","0","470","2020-03-22 03:00:00 * CTY: Denver 97; Eagle 74; Jefferson 43; Arapahoe 40; El Paso 37; Boulder 30; Douglas 27; Weld 21; Larimer 19; Gunnison 18; Pitkin 15; Adams 14; Summit 7; Garfield 7; Elbert 3; Pueblo 3; Clear Creek 3; Grand 2; Routt 2; Chaffee 2; Morgan 2; Mesa 2; Crowley 1; San Miguel 1; Broomfield 1; unknown 1; Montrose 1; Yuma 1; Hinsdale 1; Park 1"
"Pennsylvania","United States","405","2","0","403","2020-03-22 03:00:00 * CTY: Philadelphia 85; Montgomery 77; Bucks 34; Delaware 33; Allegheny 31; Monroe 25; Chester 19; Northampton 17; Lehigh  13; Cumberland 11; York 9; Berks 7; Luzerne  6; Lackawanna 5; Washington 5; Lancaster 4; Adams 4; Westmoreland 4; Pike 3; Beaver 3; Lebanon 2; Wayne 1; Potter 1; Butler 1; Erie 1; Dauphin 1; Centre 1; Montour 1; Franklin 1"
"Tennessee","United States","371","1","0","370","2020-03-22 03:00:00 * CTY: Davidson 140; Out-of-state 59; Williamson 47; Shelby 42; Sumner 11; Unknown 8; Hamilton 7; Putnam  5; Rutherford 5; Knox 4; Monroe 3; Dickson 3; Wilson 3; Montgomery 3; Hamblen 2; Sevier 2; Cheatham 2; Dyer 2; Robertson 2; Washington 2; Tipton 2; Scott  2; Cumberland 2; Campbell 2; Anderson 1; Cocke 1; Bradley 1; Maury 1; Carroll 1; Jefferson 1; Roane 1; Fayette 1; Blount 1; Sullivan 1; Greene 1"
"North Carolina","United States","283","0","0","283","2020-03-22 03:00:00 * CTY: Mecklenburg 77; Wake 49; Durham 40; Forsyth 12; Union 9; Harnett 7; Guilford 7; Brunswick 6; Orange 6; Cabarrus 6; Carteret 5; Franklin 4; New Hanover 4; Cherokee 4; Cumberland 3; Johnston 3; Chatham 3; Onslow 3; Moore 2; Pitt 2; Wilson 2; Iredell 2; Alamance 2; Buncombe 2; Rowan 2; Watauga 2; Craven 2; Sampson 1; Stanley 1; Lincoln 1; Hoke 1; Gaston 1; Chowan 1; Nash 1; Hyde 1; Robeson 1; Catawba 1; Lee 1; Davidson 1; Granville 1; Pasquotank 1; Montgomery 1; Davie 1; Wayne 1"
