"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","14,332","212","17","14,103","2020-03-20 03:00:00"
"New York","United States","5,712","38","0","5,674","2020-03-20 03:00:00 * CTY: New York 3954; Westchester 798; Nassau 372; Suffolk 239; Rockland 53; Orange 51; Albany 43; Dutchess 31; Monroe 30; Erie 28; Saratoga 21; unknown 18; Schenectady 14; Ulster 9; Onondaga 7; Tompkins 6; Putnam 5; Niagara 4; Rensselaer 4; Oneida 2; Wyoming 2; Allegany 2; Schoharie 2; Greene 2; Montgomery 2; Essex  1; Broome 1; Clinton 1; Sullivan 1; Delaware 1; Washington 1; Genesee  1; Tioga 1; Ontario 1; Chenango 1; Hamilton 1; Herkimer 1; Warren 1"
"Washington","United States","1,377","74","1","1,302","2020-03-20 03:00:00 * CTY: King 693; Snohomish 348; unknown 151; Pierce 75; Skagit 18; Island 17; Kitsap 12; Spokane 9; Grant 8; Yakima 7; Whatcom 7; Thurston 6; Kittitas 4; Clark 4; Jefferson 4; Chelan 2; Klickitat 2; Franklin 2; Benton 2; Lewis 1; Columbia 1; Cowlitz 1; Lincoln 1; Mason 1; Grays Harbor 1"
"California","United States","1,041","19","6","1,016","2020-03-20 03:00:00 * CTY: Los Angeles 231; Santa Clara 189; San Diego 101; San Mateo 89; San Francisco 70; Orange 53; Sacramento 45; Contra Costa 41; Alameda 38; Marin 25; Riverside 22; San Joaquin 17; Ventura 17; Santa Cruz 14; San Luis Obispo 13; Placer 9; Solano 8; Santa Barbara 8; Tulare 7; San Bernardino 5; San Benito 5; Yolo 5; Stanislaus 5; Imperial 4; Monterey 4; Kern 4; Fresno 3; Madera 3; Calaveras 2; Mendocino 1; Nevada 1; Shasta 1; Humboldt 1"
"New Jersey","United States","742","9","1","732","2020-03-20 03:00:00 * CTY: Bergen 195; unknown 108; Middlesex 64; Essex 63; Hudson 55; Monmouth 43; Passaic 38; Ocean 33; Union 29; Morris 26; Somerset 21; Mercer 20; Burlington 14; Camden 13; Hunterdon 8; Atlantic 3; Warren 3; Gloucester  2; Sussex 2; Gloucester 1; Cape May 1"
"Florida","United States","432","9","0","423","2020-03-20 03:00:00 * CTY: Dade 101; Broward 96; Palm Beach 29; Hillsborough 20; Orange 19; Collier 18; Pinellas 16; Duval 15; Osceola 13; Alachua 11; Lee 11; Volusia 9; Manatee 9; Seminole 8; Sarasota 6; Okaloosa 5; Pasco 5; Polk 4; Leon 4; St. Johns 4; Hernando 4; Clay 4; Lake 3; Citrus 3; Brevard 3; Sumter 2; Santa Rosa 2; Walton 1; Jackson 1; Charlotte 1; Gadsden 1; Nassau 1; Escambia 1; Martin 1; Indian River 1"
"Illinois","United States","423","4","2","417","2020-03-20 03:00:00 * CTY: Cook 278; DuPage 54; Lake 37; Will 9; McHenry 6; Kane 6; unknown 6; Sangamon 4; Clinton 3; Peoria 3; St. Clair  3; Woodford 2; Madison 1; LaSalle 1; Winnebago 1; Adams 1; Washington 1; Whiteside 1; Cumberland 1; Kendall 1; Jackson 1; Kankakee 1; Williamson 1; Champaign 1"
"Louisiana","United States","392","10","0","382","2020-03-20 03:00:00 * CTY: Orleans 249; Jefferson 69; St. Tammany 10; Caddo 10; East Baton Rouge 6; St. Bernard 4; unknown 4; St. Charles 4; Lafourche 4; Bossier 4; Terrebonne 4; Lafayette 3; St. John the Baptist 3; St. Landry 2; Ascension 2; Washington 2; West Baton Rouge 2; Calcasieu 1; Livingston 1; St. James 1; Iberia 1; Assumption 1; Plaquemines 1; Iberville 1; Webster 1; Acadia 1; Rapides 1"
"Michigan","United States","334","3","0","331","2020-03-20 03:00:00 * CTY: Oakland 105; Detroit City 75; Macomb 55; Wayne 44; Washtenaw 14; unknown 10; Kent 7; Ingham 6; St. Clair 4; Eaton 2; Monroe 2; Montcalm 1; Bay 1; Livingston 1; Jackson 1; Midland 1; Clinton 1; Charlevoix 1; Leelanau 1; Otsego 1; Ottawa 1"
"Massachusetts","United States","328","0","1","327","2020-03-20 03:00:00 * CTY: Middlesex 119; Suffolk 72; Norfolk 52; Essex 19; Berkshire 18; Worcester 14; unknown 13; Bristol 6; Plymouth 5; Barnstable 5; Hampden 3; Franklin 1; Hampshire 1"
"Texas","United States","321","5","0","316","2020-03-20 03:00:00 * CTY: Dallas 59; Travis 41; Harris 35; Bexar 29; Tarrant 19; Fort Bend 19; Collin 18; Denton 9; Montgomery 9; Williamson 8; McLennan 7; El Paso 6; Bell 6; Smith 5; Hays 5; Galveston 4; Brazos 4; Brazoria 4; Matagorda 3; Wichita 3; Lubbock 3; unknown 3; Randall 2; Jefferson 1; Crane 1; Brown 1; Webb 1; Comal 1; Castro 1; Ellis 1; Fannin 1; Gregg 1; Grimes 1; Van Zandt 1; Johnson 1; Lamar 1; Rusk 1; Oldham 1; Cameron 1; Lavaca 1; Bowie 1; DeWitt 1; Midland 1"
