"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","19,622","261","17","19,344","2020-03-21 02:00:00"
"New York","United States","8,403","46","0","8,357","2020-03-21 02:00:00 * CTY: New York 5151; Westchester 1091; Nassau 754; unknown 465; Suffolk 459; Rockland 101; Orange 84; Albany 70; Monroe 36; Dutchess 36; Erie 31; Saratoga 21; Schenectady 14; Onondaga 13; Putnam 12; Tompkins 11; Ulster 9; Rensselaer 8; Niagara 4; Clinton 3; Columbia 3; Oneida 2; Wyoming 2; Allegany 2; Greene 2; Montgomery 2; Steuben 2; Schoharie 2; Chenango 1; Warren 1; Broome 1; Delaware 1; Ontario 1; Tioga 1; Herkimer 1; Genesee  1; Washington 1; Sullivan 1; Essex  1; Hamilton 1; Wayne 1"
"Washington","United States","1,524","83","1","1,440","2020-03-21 02:00:00 * CTY: King 793; Snohomish 385; unknown 130; Pierce 83; Skagit 25; Island 19; Kitsap 12; Spokane 11; Yakima 10; Whatcom 10; Grant 8; Thurston 8; Clark 6; Jefferson 4; Kittitas 4; Benton 3; Chelan 2; Franklin 2; Klickitat 2; Lewis 1; Columbia 1; Cowlitz 1; Lincoln 1; Clallam 1; Mason 1; Grays Harbor 1"
"California","United States","1,247","24","6","1,217","2020-03-21 02:00:00 * CTY: Los Angeles 292; Santa Clara 196; San Diego 131; San Mateo 100; San Francisco 76; Orange 65; Sacramento 53; Alameda 48; Contra Costa 46; Marin 38; Riverside 28; San Joaquin 25; Ventura 19; San Luis Obispo 16; Santa Cruz 15; Solano 13; San Bernardino 9; Sonoma 9; Santa Barbara 9; Placer 9; Tulare 7; Fresno 6; Stanislaus 5; Yolo 5; San Benito 5; Monterey 5; Imperial 4; Kern 4; Madera 3; Calaveras 2; Humboldt 1; Nevada 1; Shasta 1; Mendocino 1"
"New Jersey","United States","890","11","1","878","2020-03-21 02:00:00 * CTY: Bergen 249; unknown 92; Middlesex 76; Essex 73; Hudson 66; Monmouth 53; Ocean 49; Passaic 49; Union 43; Morris 35; Somerset 28; Mercer 22; Burlington 17; Hunterdon 11; Camden 11; Gloucester 5; Atlantic 3; Warren 3; Sussex 3; Cape May 1; Cumberland 1"
"Illinois","United States","585","5","2","578","2020-03-21 02:00:00 * CTY: Cook 278; unknown 167; DuPage 54; Lake 37; Will 9; McHenry 6; Kane 6; Sangamon 4; Clinton 3; Peoria 3; St. Clair  3; Woodford 2; Kendall 1; Champaign 1; Jackson 1; Williamson 1; Madison 1; LaSalle 1; Adams 1; Washington 1; McLean 1; Whiteside 1; Cumberland 1; Winnebago 1; Kankakee 1"
"Florida","United States","563","11","0","552","2020-03-21 02:00:00 * CTY: Broward 128; Dade 123; Palm Beach 42; Hillsborough 32; Collier 25; Orange 23; Pinellas 22; Duval 17; Alachua 15; Lee 14; Osceola 13; Manatee 10; Seminole 10; Volusia 10; Polk 9; Sarasota 8; St. Johns 7; Pasco 7; Okaloosa 7; Leon 4; Brevard 4; Clay 4; Hernando 4; Lake 3; Indian River 3; Citrus 3; Santa Rosa 3; Walton 3; Charlotte 2; Sumter 2; Monroe 1; Martin 1; Nassau 1; Jackson 1; Escambia 1; Gadsden 1"
"Michigan","United States","552","3","0","549","2020-03-21 02:00:00 * CTY: Oakland 184; Detroit City 149; Macomb 86; Wayne 67; Washtenaw 16; Kent 12; St. Clair 7; Ingham 7; Genesee 4; Livingston 3; Midland 3; Monroe 3; Eaton 2; Ottawa 1; Clinton 1; Charlevoix 1; Leelanau 1; Otsego 1; Montcalm 1; Out of State 1; Jackson 1; Bay 1"
"Louisiana","United States","537","14","0","523","2020-03-21 02:00:00 * CTY: Orleans 326; Jefferson 104; St. Tammany 12; Caddo 12; St. Charles 7; East Baton Rouge 7; unknown 7; Terrebonne 7; St. John the Baptist 6; Lafayette 6; St. Bernard 5; Lafourche 5; Bossier 5; West Baton Rouge 3; Calcasieu 3; Rapides 3; Ascension 3; De Soto 2; Washington 2; Iberia 2; St. Landry 2; Webster 1; Catahoula 1; Plaquemines 1; Tangipahoa 1; Assumption 1; St. James 1; Livingston 1; Iberville 1; Acadia 0"
"Georgia","United States","485","14","0","471","2020-03-21 02:00:00 * CTY: Fulton 88; Bartow 54; Cobb 47; Dougherty 44; DeKalb 36; unknown 28; Gwinnett 23; Cherokee 16; Lee 13; Clayton 10; Clarke 10; Fayette 9; Richmond 8; Carroll 7; Floyd 7; Lowndes 7; Henry 6; Coweta 6; Hall 6; Newton 4; Gordon 3; Paulding 3; Polk 3; Forsyth 3; Pickens 2; Troup 2; Glynn 2; Terrell 2; Chatham 2; Columbia 2; Early 2; Worth 2; Laurens 2; Spalding 2; Muscogee 2; Oconee 2; Houston 2; Sumter 2; Whitfield 1; Charlton 1; Barrow 1; Lamar 1; Effingham 1; Tift 1; Heard 1; Rockdale 1; Turner 1; Dawson 1; Monroe 1; Bibb 1; Randolph 1; Peach 1; Miller 1; Douglas 1"
