County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
Broward,Florida,36,16,0,0%,26.15224542,-80.4870534,2020-03-15 16:23 EDT
Miami-Dade,Florida,13,5,0,0%,25.61418208,-80.5679083,2020-03-15 16:23 EDT
Outside-Florida,Florida,6,0,1,16.70%,28.5660449,-81.68864879,2020-03-15 16:23 EDT
Lee,Florida,5,1,2,40%,26.5590348,-81.8919943,2020-03-15 16:23 EDT
Volusia,Florida,5,1,0,0%,29.16934,-81.52251,2020-03-15 16:23 EDT
Collier,Florida,5,2,0,0%,26.11625563,-81.34013334,2020-03-15 16:23 EDT
Palm Beach,Florida,5,0,0,0%,26.70288,-80.03661,2020-03-15 16:23 EDT
Manatee,Florida,4,0,0,0%,27.49643,-82.53954,2020-03-15 16:23 EDT
Hillsborough,Florida,4,2,0,0%,27.93023096,-82.30785534,2020-03-15 16:23 EDT
Duval,Florida,4,3,0,0%,30.47844,-81.62557,2020-03-15 16:23 EDT
Clay,Florida,3,2,0,0%,29.98305516,-81.85778209,2020-03-15 16:23 EDT
Pinellas,Florida,2,0,0,0%,27.9313392,-82.72194025,2020-03-15 16:23 EDT
Pasco,Florida,2,1,0,0%,28.32453,-82.33624,2020-03-15 16:23 EDT
Orange,Florida,2,1,0,0%,28.5143906,-81.3232839,2020-03-15 16:23 EDT
Santa Rosa,Florida,1,0,1,100%,30.7012689,-87.01289,2020-03-15 16:23 EDT
Charlotte,Florida,1,0,0,0%,26.90848328,-81.90343918,2020-03-15 16:23 EDT
Okaloosa,Florida,1,0,0,0%,30.70702353,-86.59650821,2020-03-15 16:23 EDT
Nassau,Florida,1,0,0,0%,30.61077673,-81.80173997,2020-03-15 16:23 EDT
Seminole,Florida,1,0,0,0%,28.6900918,-81.1319894,2020-03-15 16:23 EDT
Alachua,Florida,1,0,0,0%,29.79309,-82.49428,2020-03-15 16:23 EDT
Osceola,Florida,1,0,0,0%,28.0590267,-81.1393116,2020-03-15 16:23 EDT
Sarasota,Florida,1,0,0,0%,27.33889,-82.53887,2020-03-15 16:23 EDT
Citrus,Florida,1,1,0,0%,28.8507789,-82.46594866,2020-03-15 16:23 EDT
St. Johns,Florida,1,1,0,0%,30.12051,-81.62536,2020-03-15 16:23 EDT
Denver,Colorado,21,0,0,0%,39.74001,-104.99202,2020-03-15 16:23 EDT
Eagle,Colorado,20,0,0,0%,39.65565,-106.82788,2020-03-15 16:23 EDT
Arapahoe,Colorado,13,3,0,0%,38.84963,-102.17482,2020-03-15 16:23 EDT
Pitkin,Colorado,11,0,0,0%,39.2175376,-106.9161587,2020-03-15 16:23 EDT
Jefferson,Colorado,9,0,0,0%,39.37737,-105.80047,2020-03-15 16:23 EDT
Gunnison,Colorado,6,0,0,0%,38.54526,-106.92692,2020-03-15 16:23 EDT
Adams,Colorado,6,0,0,0%,39.87375914,-104.3366349,2020-03-15 16:23 EDT
Weld,Colorado,5,2,0,0%,40.55477273,-104.3924353,2020-03-15 16:23 EDT
Douglas,Colorado,4,0,0,0%,39.32966642,-104.9295706,2020-03-15 16:23 EDT
El Paso,Colorado,3,0,1,33.30%,38.83212691,-104.5255141,2020-03-15 16:23 EDT
Summit,Colorado,2,0,0,0%,39.6341694,-106.1163607,2020-03-15 16:23 EDT
Larimer,Colorado,1,0,0,0%,40.66645245,-105.4609363,2020-03-15 16:23 EDT
Pueblo,Colorado,1,0,0,0%,38.26375,-104.61252,2020-03-15 16:23 EDT
Routt,Colorado,1,0,0,0%,40.48499792,-106.9912189,2020-03-15 16:23 EDT
Mesa,Colorado,1,0,0,0%,39.16616,-108.13889,2020-03-15 16:23 EDT
Fulton,Georgia,20,7,0,0%,33.79024066,-84.46711002,2020-03-15 16:23 EDT
Cobb,Georgia,19,4,1,5.30%,31.95878,-83.987,2020-03-15 16:23 EDT
DeKalb,Georgia,10,2,0,0%,33.77153731,-84.22646531,2020-03-15 16:23 EDT
Bartow,Georgia,9,2,0,0%,32.87959,-82.47416,2020-03-15 16:23 EDT
Cherokee,Georgia,6,1,0,0%,32.85732,-83.76989,2020-03-15 16:23 EDT
Dougherty,Georgia,6,0,0,0%,34.38193,-84.06359,2020-03-15 16:23 EDT
Fayette,Georgia,5,1,0,0%,33.4139091,-84.49427247,2020-03-15 16:23 EDT
Floyd,Georgia,4,1,0,0%,33.84649,-84.58549,2020-03-15 16:23 EDT
Gwinnett,Georgia,4,2,0,0%,33.96118879,-84.0235873,2020-03-15 16:23 EDT
Lowndes,Georgia,2,1,0,0%,30.83362831,-83.26769554,2020-03-15 16:23 EDT
Lee,Georgia,2,1,0,0%,31.77959716,-84.14088023,2020-03-15 16:23 EDT
Gordon,Georgia,2,0,0,0%,32.88345,-83.34324,2020-03-15 16:23 EDT
Coweta,Georgia,2,0,0,0%,33.35360269,-84.76336691,2020-03-15 16:23 EDT
Polk,Georgia,1,0,0,0%,34.00168812,-85.18810974,2020-03-15 16:23 EDT
Charlton,Georgia,1,0,0,0%,30.78171091,-82.13776476,2020-03-15 16:23 EDT
Henry,Georgia,1,0,0,0%,33.45301628,-84.15426282,2020-03-15 16:23 EDT
Bergen,New Jersey,29,4,1,3.40%,40.9596985,-74.0747272,2020-03-15 16:23 EDT
Monmouth,New Jersey,12,4,1,8.30%,40.2600411,-74.22194634,2020-03-15 16:23 EDT
Hudson,New Jersey,11,6,0,0%,40.74034231,-74.0741097,2020-03-15 16:23 EDT
Middlesex,New Jersey,11,1,0,0%,40.57936,-74.50067,2020-03-15 16:23 EDT
Essex,New Jersey,11,4,0,0%,40.78779259,-74.24760059,2020-03-15 16:23 EDT
Passaic,New Jersey,5,3,0,0%,40.86034,-74.12374,2020-03-15 16:23 EDT
Union,New Jersey,4,3,0,0%,40.69635,-74.26957,2020-03-15 16:23 EDT
Burlington,New Jersey,4,1,0,0%,40.07687,-74.85775,2020-03-15 16:23 EDT
Morris,New Jersey,4,1,0,0%,40.8588961,-74.5472917,2020-03-15 16:23 EDT
Camden,New Jersey,2,0,0,0%,39.8024071,-74.9612493,2020-03-15 16:23 EDT
Ocean,New Jersey,2,1,0,0%,39.90927434,-74.2969653,2020-03-15 16:23 EDT
Somerset,New Jersey,1,0,0,0%,40.49859,-74.52249,2020-03-15 16:23 EDT
Mercer,New Jersey,1,0,0,0%,40.28331911,-74.70157374,2020-03-15 16:23 EDT
Hunterdon,New Jersey,1,0,0,0%,40.56725317,-74.91217921,2020-03-15 16:23 EDT
Orleans,Louisiana,66,13,2+1,3%,30.03843182,-89.90055149,2020-03-15 16:23 EDT
Jefferson,Louisiana,12,1,0,0%,29.9596,-90.17182,2020-03-15 16:23 EDT
St. Tammany,Louisiana,2,0,0,0%,30.39408,-89.89507,2020-03-15 16:23 EDT
St. Charles,Louisiana,2,0,0,0%,29.9057222,-90.3578553,2020-03-15 16:23 EDT
Caddo,Louisiana,1,0,0,0%,32.75632,-93.97374,2020-03-15 16:23 EDT
Lafourche,Louisiana,1,0,0,0%,29.4919925,-90.394849,2020-03-15 16:23 EDT
Terrebonne,Louisiana,1,0,0,0%,29.43006669,-90.87546183,2020-03-15 16:23 EDT
Bossier,Louisiana,1,0,0,0%,32.67886191,-93.60531071,2020-03-15 16:23 EDT
St. John the Baptist,Louisiana,1,0,0,0%,30.07866499,-90.54541322,2020-03-15 16:23 EDT
Dallas,Texas,14,3,0,0%,32.77822,-96.79512,2020-03-15 16:23 EDT
Harris,Texas,11,0,0,0%,32.87179,-96.14859,2020-03-15 16:23 EDT
Fort Bend,Texas,9,0,0,0%,29.52745252,-95.77065084,2020-03-15 16:23 EDT
Collin,Texas,8,1,0,0%,33.1968,-96.80393,2020-03-15 16:23 EDT
Travis,Texas,5,2,0,0%,31.13672,-97.00362,2020-03-15 16:23 EDT
Tarrant,Texas,4,0,0,0%,32.8173,-97.07655,2020-03-15 16:23 EDT
Montgomery,Texas,4,0,0,0%,30.38862,-95.69633,2020-03-15 16:23 EDT
Smith,Texas,4,0,0,0%,32.3770156,-95.2700409,2020-03-15 16:23 EDT
Bexar,Texas,3,1,0,0%,29.4486708,-98.5201465,2020-03-15 16:23 EDT
El Paso,Texas,2,1,0,0%,31.75916,-106.48749,2020-03-15 16:23 EDT
Brazoria,Texas,2,0,0,0%,29.04971,-95.562,2020-03-15 16:23 EDT
Gregg,Texas,1,0,0,0%,32.48062462,-94.81699103,2020-03-15 16:23 EDT
Lavaca,Texas,1,0,0,0%,29.40776,-96.9236334,2020-03-15 16:23 EDT
Bell,Texas,1,0,0,0%,31.03765881,-97.47807382,2020-03-15 16:23 EDT
Galveston,Texas,1,0,0,0%,29.29532,-94.80791,2020-03-15 16:23 EDT
Hays,Texas,1,0,0,0%,30.11817,-97.87222,2020-03-15 16:23 EDT
Cook,Illinois,50,0,0,0%,41.84014932,-87.81682325,2020-03-15 16:23 EDT
Kane,Illinois,3,0,0,0%,39.18886,-90.35226,2020-03-15 16:23 EDT
Lake,Illinois,3,0,0,0%,41.16892,-87.55087,2020-03-15 16:23 EDT
McHenry,Illinois,2,0,0,0%,42.32621,-88.26731,2020-03-15 16:23 EDT
St. Clair,Illinois,2,0,0,0%,38.46996471,-89.92749975,2020-03-15 16:23 EDT
Sangamon,Illinois,2,0,0,0%,39.86621,-88.85576,2020-03-15 16:23 EDT
Coles,Illinois,1,0,0,0%,39.52031,-88.47116,2020-03-15 16:23 EDT
DuPage,Illinois,1,0,0,0%,41.85194049,-88.08561127,2020-03-15 16:23 EDT
Woodford,Illinois,1,0,0,0%,40.84437,-89.02781,2020-03-15 16:23 EDT
Cumberland,Illinois,1,0,0,0%,39.30393,-87.97781,2020-03-15 16:23 EDT
Montgomery,Pennsylvania,24,4,0,0%,41.17016,-76.87508,2020-03-15 16:23 EDT
Philadelphia,Pennsylvania,8,4,0,0%,39.95222,-75.16218,2020-03-15 16:23 EDT
Delaware,Pennsylvania,7,1,0,0%,39.9166853,-75.3988178,2020-03-15 16:23 EDT
Monroe,Pennsylvania,6,3,0,0%,41.71431,-76.47344,2020-03-15 16:23 EDT
Cumberland,Pennsylvania,5,2,0,0%,40.16367663,-77.26538073,2020-03-15 16:23 EDT
Bucks,Pennsylvania,4,1,0,0%,40.33694044,-75.10679406,2020-03-15 16:23 EDT
Allegheny,Pennsylvania,4,2,0,0%,40.45082,-80.01615,2020-03-15 16:23 EDT
Chester,Pennsylvania,2,0,0,0%,39.9740287,-75.749752,2020-03-15 16:23 EDT
Wayne,Pennsylvania,1,0,0,0%,41.6466021,-75.2924932,2020-03-15 16:23 EDT
Northampton,Pennsylvania,1,0,0,0%,40.6836,-75.49108,2020-03-15 16:23 EDT
Pike,Pennsylvania,1,0,0,0%,41.33202501,-75.03382353,2020-03-15 16:23 EDT
Washington,Pennsylvania,1,0,0,0%,40.16752,-80.24648,2020-03-15 16:23 EDT
Fairfax,Virginia,10,0,0,0%,38.84179,-77.30887,2020-03-15 16:23 EDT
Arlington,Virginia,8,1,0,0%,38.8905,-77.08629,2020-03-15 16:23 EDT
James City,Virginia,8,0,1,12.50%,37.31327387,-76.77335259,2020-03-15 16:23 EDT
Loudoun,Virginia,5,0,0,0%,39.09069908,-77.63564793,2020-03-15 16:23 EDT
Virginia Beach City,Virginia,4,1,0,0%,36.74817867,-76.0574891,2020-03-15 16:23 EDT
Prince William,Virginia,3,1,0,0%,38.7024474,-77.4800235,2020-03-15 16:23 EDT
Alexandria City,Virginia,2,1,0,0%,38.81838615,-77.08622964,2020-03-15 16:23 EDT
Spotsylvania,Virginia,1,0,0,0%,38.20174,-77.58855,2020-03-15 16:23 EDT
Hanover,Virginia,1,0,0,0%,37.76881,-77.37109,2020-03-15 16:23 EDT
Prince Edward,Virginia,1,0,0,0%,37.22429738,-78.44105653,2020-03-15 16:23 EDT
Harrisonburg,Virginia,1,0,0,0%,38.45163,-78.8697,2020-03-15 16:23 EDT
Chesterfield,Virginia,1,0,0,0%,37.37756,-77.50817,2020-03-15 16:23 EDT
Davidson,Tennessee,17,3,0,0%,36.56812,-85.02245,2020-03-15 16:23 EDT
Williamson,Tennessee,14,4,0,0%,35.89382673,-86.89863959,2020-03-15 16:23 EDT
Shelby,Tennessee,2,0,0,0%,31.95656,-94.31826,2020-03-15 16:23 EDT
Sullivan,Tennessee,1,0,0,0%,36.51280182,-82.30449503,2020-03-15 16:23 EDT
Knox,Tennessee,1,0,0,0%,35.9956069,-83.93465204,2020-03-15 16:23 EDT
Hamilton,Tennessee,1,0,0,0%,35.163472,-85.2018432,2020-03-15 16:23 EDT
Jefferson,Tennessee,1,0,0,0%,35.89173,-85.76808,2020-03-15 16:23 EDT
Rutherford,Tennessee,1,0,0,0%,36.12756,-88.98522,2020-03-15 16:23 EDT
Campbell,Tennessee,1,0,0,0%,36.08201,-85.53609,2020-03-15 16:23 EDT
Cuyahoga,Ohio,14,3,0,0%,41.42441485,-81.65858169,2020-03-15 16:23 EDT
Butler,Ohio,6,2,0,0%,40.58786,-82.42376,2020-03-15 16:23 EDT
Stark,Ohio,3,0,0,0%,40.81390964,-81.3656565,2020-03-15 16:23 EDT
Franklin,Ohio,3,2,0,0%,39.54045,-84.29054,2020-03-15 16:23 EDT
Trumbull,Ohio,2,0,0,0%,41.67262,-80.95393,2020-03-15 16:23 EDT
Belmont,Ohio,2,0,0,0%,40.02955,-81.03891,2020-03-15 16:23 EDT
Summit,Ohio,2,0,0,0%,41.14294,-80.7217,2020-03-15 16:23 EDT
Lorain,Ohio,2,1,0,0%,41.4682,-82.17815,2020-03-15 16:23 EDT
Lucas,Ohio,1,0,0,0%,41.6823213,-83.4689033,2020-03-15 16:23 EDT
Tuscarawas,Ohio,1,0,0,0%,40.39758,-81.40727,2020-03-15 16:23 EDT
Washington,Oregon,13,0,0,0%,45.56005965,-123.098408,2020-03-15 16:23 EDT
Linn,Oregon,9,0,0,0%,44.4887414,-122.5343983,2020-03-15 16:23 EDT
Deschutes,Oregon,3,0,0,0%,44.15924,-121.25967,2020-03-15 16:23 EDT
Jackson,Oregon,2,0,0,0%,42.4321189,-122.7284862,2020-03-15 16:23 EDT
Umatilla,Oregon,2,0,0,0%,45.91768,-119.34203,2020-03-15 16:23 EDT
Marion,Oregon,2,0,0,0%,44.75045,-122.94052,2020-03-15 16:23 EDT
Klamath,Oregon,1,0,0,0%,42.69219137,-121.6433518,2020-03-15 16:23 EDT
Douglas,Oregon,1,0,0,0%,43.27977096,-123.1664872,2020-03-15 16:23 EDT
Multnomah,Oregon,1,0,1,100%,45.46975,-122.70562,2020-03-15 16:23 EDT
Polk,Oregon,1,0,0,0%,44.90373452,-123.4127777,2020-03-15 16:23 EDT
Clackamas,Oregon,1,0,0,0%,45.41211,-122.56909,2020-03-15 16:23 EDT
Hennepin,Minnesota,12,6,0,0%,45.00575776,-93.4749321,2020-03-15 16:23 EDT
Ramsey,Minnesota,8,3,0,0%,45.0152037,-93.0999648,2020-03-15 16:23 EDT
Dakota,Minnesota,3,1,0,0%,43.91335,-91.35959,2020-03-15 16:23 EDT
Stearns,Minnesota,3,0,0,0%,45.55209682,-94.61375674,2020-03-15 16:23 EDT
Anoka,Minnesota,2,1,0,0%,45.19833,-93.38997,2020-03-15 16:23 EDT
Olmsted,Minnesota,2,1,0,0%,44.00379942,-92.40181819,2020-03-15 16:23 EDT
Carver,Minnesota,1,0,0,0%,44.76325,-93.62524,2020-03-15 16:23 EDT
Wright,Minnesota,1,0,0,0%,46.67052,-93.00113,2020-03-15 16:23 EDT
Renville,Minnesota,1,0,0,0%,44.78921,-95.21243,2020-03-15 16:23 EDT
Wake,North Carolina,14,3,0,0%,35.79010846,-78.65039764,2020-03-15 16:23 EDT
Mecklenburg,North Carolina,4,2,0,0%,35.24147789,-80.83080552,2020-03-15 16:23 EDT
Forsyth,North Carolina,2,0,0,0%,35.93994,-79.0129,2020-03-15 16:23 EDT
Johnston,North Carolina,2,0,0,0%,35.51765595,-78.36573857,2020-03-15 16:23 EDT
Harnett,North Carolina,2,0,0,0%,35.34117,-78.78837,2020-03-15 16:23 EDT
Chatham,North Carolina,1,0,0,0%,35.70262985,-79.25541576,2020-03-15 16:23 EDT
Durham,North Carolina,1,0,0,0%,35.99542,-78.89644,2020-03-15 16:23 EDT
Cabarrus,North Carolina,1,0,0,0%,35.2372,-80.5423,2020-03-15 16:23 EDT
Onslow,North Carolina,1,0,0,0%,34.73346891,-77.42966411,2020-03-15 16:23 EDT
Wayne,North Carolina,1,0,0,0%,35.36376229,-78.0041603,2020-03-15 16:23 EDT
Brunswick,North Carolina,1,0,0,0%,34.2878,-78.70186,2020-03-15 16:23 EDT
Craven,North Carolina,1,0,0,0%,35.62893,-80.33333,2020-03-15 16:23 EDT
Watauga,North Carolina,1,1,0,0%,36.23101355,-81.69645582,2020-03-15 16:23 EDT
Oakland,Michigan,9,0,0,0%,42.74214,-83.16174,2020-03-15 16:23 EDT
Wayne,Michigan,8,0,0,0%,42.28515,-83.3836,2020-03-15 16:23 EDT
Washtenaw,Michigan,4,0,0,0%,42.25322942,-83.83877634,2020-03-15 16:23 EDT
Kent,Michigan,3,0,0,0%,43.03216204,-85.54929822,2020-03-15 16:23 EDT
Macomb,Michigan,2,0,0,0%,42.69565,-82.92171,2020-03-15 16:23 EDT
St. Clair,Michigan,1,0,0,0%,42.83189,-82.50221,2020-03-15 16:23 EDT
Ingham,Michigan,1,0,0,0%,42.59709245,-84.37353421,2020-03-15 16:23 EDT
Montcalm,Michigan,1,0,0,0%,43.31095473,-85.1525018,2020-03-15 16:23 EDT
Bay,Michigan,1,0,0,0%,43.70732889,-83.99203709,2020-03-15 16:23 EDT
Charlevoix,Michigan,1,0,0,0%,45.31653,-85.26072,2020-03-15 16:23 EDT
Monroe,Michigan,1,0,0,0%,41.91606,-83.3979,2020-03-15 16:23 EDT
Fond du Lac,Wisconsin,11,5,0,0%,43.77302,-88.44709,2020-03-15 16:23 EDT
Dane,Wisconsin,6,0,0,0%,43.2509,-89.51829,2020-03-15 16:23 EDT
Milwaukee,Wisconsin,6,0,0,0%,43.042,-87.90687,2020-03-15 16:23 EDT
Waukesha,Wisconsin,3,0,0,0%,43.01458,-88.23548,2020-03-15 16:23 EDT
