County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,43119,0,1096,2.50%,40.71455,-74.00714,2020-03-31 21:49 EDT,36,500,8443.713,5.106639697
Westchester,New York,9967,0,25,0.30%,41.16319759,-73.7560629,2020-03-31 21:49 EDT,36,119,968.815,10.28782585
Nassau,New York,8544,0,63,0.70%,40.74165225,-73.58899619,2020-03-31 21:49 EDT,36,59,1356.564,6.298265323
Suffolk,New York,6713,0,53,0.80%,40.87732808,-72.85898036,2020-03-31 21:49 EDT,36,103,1487.901,4.511724906
Rockland,New York,2863,0,18,0.60%,41.152374,-74.02401032,2020-03-31 21:49 EDT,36,87,323.686,8.844991751
Orange,New York,1560,0,19,1.20%,41.40206825,-74.30559567,2020-03-31 21:49 EDT,36,71,378.227,4.12450724
Erie,New York,553,0,10,1.80%,42.76382119,-78.73224973,2020-03-31 21:49 EDT,36,29,919.866,0.601174519
Dutchess,New York,484,0,4,0.80%,41.76477515,-73.74281684,2020-03-31 21:49 EDT,36,27,293.894,1.646852266
Monroe,New York,300,0,9,3.00%,43.14604282,-77.69674911,2020-03-31 21:49 EDT,36,55,744.248,0.403091443
Onondaga,New York,249,0,1,0.40%,43.00487,-76.1836,2020-03-31 21:49 EDT,36,67,464.242,0.536358192
Albany,New York,226,0,1,0.40%,42.65155,-73.75521,2020-03-31 21:49 EDT,36,1,307.426,0.73513626
Ulster,New York,217,0,3,1.40%,41.95986,-73.99033,2020-03-31 21:49 EDT,36,111,179.303,1.210241881
Putnam,New York,186,0,0,0.00%,41.42653455,-73.7494999,2020-03-31 21:49 EDT,36,79,99.07,1.877460382
Sullivan,New York,118,0,1,0.80%,41.71631354,-74.76811083,2020-03-31 21:49 EDT,36,105,75.211,1.56891944
Saratoga,New York,108,0,1,0.90%,43.06974,-73.63661,2020-03-31 21:49 EDT,36,91,227.377,0.474982078
Schenectady,New York,85,0,1,1.20%,42.81238,-73.94122,2020-03-31 21:49 EDT,36,93,154.883,0.548801353
Tompkins,New York,76,0,0,0.00%,42.44933495,-76.47064359,2020-03-31 21:49 EDT,36,109,102.962,0.7381364
Madison,New York,62,0,2,3.20%,42.91290749,-75.66978904,2020-03-31 21:49 EDT,36,53,71.359,0.868846256
Rensselaer,New York,55,0,0,0.00%,42.71086263,-73.5097379,2020-03-31 21:49 EDT,36,83,159.431,0.344976824
Niagara,New York,42,0,0,0.00%,43.19998147,-78.74522262,2020-03-31 21:49 EDT,36,63,211.704,0.198390205
Columbia,New York,41,0,1,2.40%,42.25001078,-73.63186134,2020-03-31 21:49 EDT,36,21,60.919,0.673024836
Oneida,New York,40,0,0,0.00%,43.24306498,-75.42583597,2020-03-31 21:49 EDT,36,65,230.782,0.173323743
Broome,New York,38,0,3,7.90%,42.16021802,-75.81964586,2020-03-31 21:49 EDT,36,7,194.402,0.19547124
